23中	第23中学
65中	第65中学
一幼	第一幼儿园
一秘	一等秘书
一纵	第一纵队
上京	上海京剧院
上博	上海博物馆
上工	上海工业
上戏	上海戏剧学院
上昆	上海昆剧团
上柴	上海柴油机厂
上港	上海港务局
上航	上海航空公司
上视	上海电视台
专储	专项储备
专干	专职干部
专才	专业人才
专控	专项控制
专署	专员公署
专责	专门负责
世局	世界局势
世行	世界银行
世贸	世界贸易
业校	业余学校
东协	东南亚国家协会
东汽	东风汽车公司
东航	东方航空公司
丝路	丝绸之路
严控	严格控制
严斥	严厉斥责
严管	严格管理
严罚	严肃处罚
个唱	个人演唱会
个税	个人所得税
个贷	个人贷款
中总	香港中华总商会
中戏	中央戏剧学院
中控	中央控制
中直	中央直属机关
中芭	中央芭蕾舞团
中野	中原野战军
中院	中级人民法院
临客	临时旅客列车
临建	临时建筑
临管	临时管理
主因	主要原因
主控	主要控制
主秘	主任秘书
主险	主要保险
举协	举重协会
举发	检举揭发
举联	举重联合会
义消	义务消防队
乐评	音乐评论
乒协	乒乓球协会
乒总	乒乓球总会
乒联	乒乓球联合会
乙脑	乙型脑炎
乡建	乡村建设
乡邮	乡村邮递
书艺	书法艺术
二商	第二商业
二棉	第二棉纺织厂
二汽	第二汽车制造厂
二秘	二等秘书
五交	五金交电
亚乒	亚洲乒乓球
亚姐	亚洲小姐
交大	交通大学
交委	交通委员会
交行	交通银行
产能	生产能力
产销	生产和销售
人武	人民武装
人美	人民美术出版社
人防	人民防空
从商	从事商业
企办	企业办公室
企务	企业事务
企银	企业银行
伊协	伊斯兰教协会
伊航	伊拉克航空公司
伊阵	伊斯兰拯救阵线
伏休	伏季休渔
众院	众议院
优长	优点和长处
体协	体育协会
体工	体育工作
体彩	体育彩票
体校	体育学校
体疗	体育医疗
体院	体育学院
佛协	佛教协会
作训	作战训练
侦处	侦查处理
侦技	侦察技术
俄航	俄罗斯航空公司
俄队	俄国家队
保共	保加利亚共产党
保教	保育教育
修宪	修改宪法
修院	修道院
债信	债务信用
债息	债券利息
停售	停止销售
停播	停止播放
健检	健康检查
储种	储蓄种类
储贷	储蓄和贷款
儿艺	儿童艺术
免刑	免予刑事处分
免诉	免予起诉
兑汇	兑换外汇
党史	党的历史
党工	党务工作
党建	党的建设
党纪	党的纪律
全麻	全身麻醉
公交	公共交通
公关	公共关系
公判	公开宣判
公厕	公共厕所
公审	公开审判
公屋	公共房屋
公德	公共道德
公意	公民意愿
公投	公民投票
公捕	公开逮捕
公铁	公路铁路
兰铁	兰州铁路
共保	共同保护
共军	共产党的军队
共建	共同建设
共治	共同治理
共盟	共产主义者联盟
共管	共同管理
共荣	共同繁荣
关员	海关人员
兵总	兵器工业总公司
内刊	内部刊物
内审	内部审计
内控	内部控制
军体	军事体育
军力	军事力量
军妓	随军妓女
军情	军事情报
军控	军备控制
军援	军事援助
军机	军事机密
军检	军事检察院
军管	军事管制
军训	军事训练
军贸	军火贸易
农军	农民自卫军
农办	农业办公室
农化	农业化学
农地	农业用地
农大	农业大学
农居	农转居
农房	农民住房
农技	农业技术
农本	农业成本
农电	农村用电
农科	农业科学
农经	农业经济
农话	农村电话
农贷	农业贷款
农资	农业生产资料
农运	农民运动
农院	农业学院
农险	农业保险
冰协	冰球协会
冰期	冰川时期
冰联	冰球联合会
准购	批准购买
减亏	减少亏损
减让	减税让利
减资	减少资本
函大	函授大学
分获	分别获得
刑侦	刑事侦查
刑庭	刑事法庭
刑拘	刑事拘留
刑辩	刑事辩护
刑释	刑满释放
创演	创作和演出
创议	创新建议
初小	初级小学
初教	初等教育
判监	判处监禁
利废	利用废物
制播	制作和播出
制程	制造过程
前指	前线指挥部
剖验	解剖检验
加航	加拿大航空公司
劣品	劣质商品
动检	动物检疫
助研	助理研究员
劳保	劳动保护
劳卫	劳动卫生
劳技	劳动和技术
劳改	劳动改造
劳教	劳动教养
劳服	劳动服务
劳模	劳动模范
劳联	劳工联合会
勒赎	勒索赎金
化废	化学废物
化武	化学武器
北体	北京体育大学
北大	北京大学
北展	北京展览馆
北影	北京电影制片厂
北邮	北京邮电大学
区府	市辖区人民政府
医助	医生助理
医大	医科大学
医技	医疗技术
医界	医疗界
协处	协助处理
协寻	协助寻找
协拍	协助拍摄
南侨	南洋华侨
南大	南京大学
南师	南京师范大学
南艺	南京艺术学院
博协	博物馆协会
博导	博士生导师
卫校	卫生学校
卫片	卫星照片
印尼	印度尼西亚
厂校	工厂和学校
厦大	厦门大学
厨卫	厨房卫生
去今	去年今年
参会	参加会议
参拍	参加拍摄
参游	参加旅游
参演	参加演出
参编	参加编写
参训	参加训练
参访	参观访问
参试	参加试验
参赌	参加赌博
参院	参议院
友协	友好协会
反帝	反对帝国主义
反战	反对战争
反殖	反对殖民主义
受托	接受委托
受阅	接受检阅
叙军	叙利亚军队
古史	古代历史
