一秘	一等秘书
上京	上海京剧院
上博	上海博物馆
上工	上海工业
上航	上海航空公司
专储	专项储备
专干	专职干部
专才	专业人才
专署	专员公署
专责	专门负责
世行	世界银行
世贸	世界贸易
东协	东南亚国家协会
东汽	东风汽车公司
东航	东方航空公司
丝路	丝绸之路
严控	严格控制
严管	严格管理
个唱	个人演唱会
个税	个人所得税
个贷	个人贷款
中总	香港中华总商会
中戏	中央戏剧学院
中控	中央控制
中直	中央直属机关
中院	中级人民法院
临客	临时旅客列车
临建	临时建筑
主因	主要原因
主控	主要控制
主秘	主任秘书
举发	检举揭发
乒协	乒乓球协会
乙脑	乙型脑炎
书艺	书法艺术
二汽	第二汽车制造厂
二秘	二等秘书
亚乒	亚洲乒乓球
亚姐	亚洲小姐
交大	交通大学
交行	交通银行
产能	生产能力
产销	生产和销售
人武	人民武装
人防	人民防空
从商	从事商业
众院	众议院
体协	体育协会
体工	体育工作
体彩	体育彩票
体校	体育学校
体院	体育学院
佛协	佛教协会
作训	作战训练
修宪	修改宪法
停售	停止销售
停播	停止播放
健检	健康检查
党史	党的历史
党工	党务工作
党建	党的建设
党纪	党的纪律
全麻	全身麻醉
公交	公共交通
公关	公共关系
公判	公开宣判
公厕	公共厕所
公审	公开审判
公屋	公共房屋
公德	公共道德
公投	公民投票
公铁	公路铁路
共保	共同保护
共建	共同建设
共治	共同治理
共管	共同管理
共荣	共同繁荣
关员	海关人员
兵总	兵器工业总公司
内审	内部审计
内控	内部控制
军体	军事体育
军力	军事力量
军情	军事情报
军控	军备控制
军援	军事援助
军机	军事机密
军管	军事管制
军训	军事训练
军贸	军火贸易
农地	农业用地
农大	农业大学
农房	农民住房
农技	农业技术
农电	农村用电
农科	农业科学
农经	农业经济
农话	农村电话
农贷	农业贷款
农资	农业生产资料
农运	农民运动
农险	农业保险
减亏	减少亏损
减让	减税让利
分获	分别获得
刑侦	刑事侦查
刑庭	刑事法庭
刑拘	刑事拘留
刑释	刑满释放
初教	初等教育
判监	判处监禁
制程	制造过程
前指	前线指挥部
劳保	劳动保护
劳改	劳动改造
劳教	劳动教养
劳模	劳动模范
勒赎	勒索赎金
化武	化学武器
北体	北京体育大学
北大	北京大学
北展	北京展览馆
北影	北京电影制片厂
医大	医科大学
医技	医疗技术
医界	医疗界
协处	协助处理
协寻	协助寻找
南大	南京大学
南师	南京师范大学
博导	博士生导师
卫校	卫生学校
卫片	卫星照片
印尼	印度尼西亚
厦大	厦门大学
参会	参加会议
参演	参加演出
参训	参加训练
参访	参观访问
参试	参加试验
参院	参议院
友协	友好协会
反帝	反对帝国主义
反战	反对战争
受托	接受委托
受阅	接受检阅
叙军	叙利亚军队
古史	古代历史
台企	台湾企业
台大	台湾大学
台生	台湾学生
台胞	台湾同胞
吉大	吉林大学
呼市	呼和浩特市
和约	和平条约
和谈	和平谈判
商检	商品检验
商誉	商业信誉
商贷	商业贷款
善信	善男信女
国企	国有企业
国基	国家基础
国控	国家控制
国贸	国际贸易
土军	土耳其军队
土改	土地改革
地价	土地价格
地勘	地质勘查
地埋	地下埋藏
地学	地球科学
地矿	地质矿产
坚拒	坚持拒绝
城建	城市建设
城管	城市管理
城郊	城市郊区
基建	基本建设
增幅	增长幅度
增支	增加支出
增收	增加收入
增税	增加税收
增编	增加编制
增速	增长速度
复交	恢复外交关系
复健	恢复健康
外事	外交事务
外军	外国军队
外空	外层空间
外航	外国航空公司
外销	对外销售
外需	外部需求
大本	大学本科
央行	中央银行
奥体	奥林匹克体育
女中	女子中学
女举	女子举重
女乒	女子乒乓球队
女单	女子单打
女双	女子双打
女团	女子团体
女垒	女子垒球
女曲	女子曲棍球队
女柔	女子柔道
女校	女子学校
女花	女子花剑
女超	女子超级
女足	女子足球
委办	委员会办公室
委培	委托培养
婉拒	婉言拒绝
婚龄	结婚年龄
嫌犯	嫌疑犯
学联	学生联合会
学运	学生运动
安保	安全保卫
安检	安全检查
安盟	争取安哥拉彻底独立全国联盟
完小	完全小学
定存	定期存款
实效	实际效果
审案	审理案件
宣导	宣传引导
宣教	宣传教育
家教	家庭教育
家财	家庭财产
小巴	小型巴士
尤杯	尤伯杯
尼共	尼泊尔共产党
尿检	尿样检查
局地	局部地区
展馆	展览馆
川航	四川航空公司
巡展	巡回展出
巡讲	巡回演讲
工体	北京工人体育场
工大	工业大学
工总	工业总会
工效	工作效率
工时	工作时间
工美	工艺美术品
巨资	巨额资金
市况	市场状况
市务	市场业务
师专	师范专科学校
师大	师范大学
师院	师范学院
帮贫	帮助贫困户
平叛	平息叛乱
建商	建筑商
建外	建国门外
建工	建筑工程
建材	建筑材料
建管	建筑管理
开行	开发银行
引智	引进国外智力
引资	引进资金
强震	强烈地震
彩印	彩色印刷
彩照	彩色照片
影业	电影业
影带	录影带
影星	电影明星
律协	律师协会
心梗	心肌梗塞
心防	心理防线
息率	利息率
成教	成人教育
成飞	成都飞机
战训	战备训练
户政	户籍政策
打私	打击走私活动
打防	打击和防范
执纪	执行纪律
扩招	扩大招生
扫盲	扫除文盲
批建	批准建设
批捕	批准逮捕
技协	技术协会
技改	技术改造
技校	技工学校
投建	投资建设
投运	投入运行
抗战	抗日战争
抬价	抬高价格
拉美	拉丁美洲
拒付	拒绝支付
拒收	拒绝接收
拳赛	拳击比赛
排协	排球协会
排管	排水管道
控申	控告申诉
援藏	支援西藏
搜证	搜集证据
摘金	摘取金牌
摩步	摩托化步兵
支书	支部书记
政争	政治斗争
政团	政治团体
政工	思想政治工作
政改	政治体制改革
政校	政治学校
政院	政治学院
教卫	教育和卫生
教研	教学研究
文保	文物保护
文娱	文化娱乐
文摘	文章摘要
文教	文化教育
断交	断绝外交关系
新地	新鸿基地产
新航	新加坡航空公司
施压	施加压力
施袭	实施袭击
旅团	旅行团
无照	无牌照
日皇	日本天皇
日航	日本航空公司
日银	日本银行
早教	早期教育
时空	时间和空间
时评	时事评论
时限	时间限制
显效	显著效果
普九	普及九年制义务教育
普工	普通工人
普教	普通教育
智残	智力残疾
暨大	暨南大学
月入	每月收入
月均	每月平均
村企	村办企业
村委	村民委员会
林大	林业大学
标煤	标准煤
棉织	棉纺织
森工	森林工业
森警	森林警察
植保	植物保护
欧陆	欧洲大陆
正选	正式选举
武协	武术协会
武大	武汉大学
武联	武术联合会
民乐	民族音乐
民初	民国初年
民委	民族事务委员会
民贸	民族贸易
水保	水土保持
水运	水路运输
汤杯	汤姆斯杯
汽摩	汽车摩托车
汽配	汽车配件
沈铁	沈阳铁路局
油国	石油出口国
治保	治安保卫
治污	治理污染
治淮	治理淮河
治黄	治理黄河
波幅	波动幅度
泳协	游泳协会
泳手	游泳选手
浙大	浙江大学
海缆	海底电缆
温控	温度控制
港姐	香港小姐
港府	香港政府
港股	香港股市
游将	游泳健将
滥权	滥用职权
激辩	激烈争辩
炮团	炮兵团
烈属	烈士家属
物探	地球物理勘探
物耗	物资消耗
特困	特殊困难
特委	特别委员会
特批	特别批准
特训	特别训练
特需	特殊需要
环保	环境保护
环卫	环境卫生
环发	环境与发展
现值	现实价值
现况	现实情况
玻纤	玻璃纤维
生化	生物化学
田管	田间管理
电业	电力工业
电大	广播电视大学
电建	电力建设
电教	电化教学
电联	国际电信联盟
男乒	男子乒乓球
男单	男子单打
男双	男子双打
男曲	男子曲棍球
男网	男子网球
男花	男子花剑
留美	留学美国
监委	监察委员会
督查	监督检查
