股价	股票价格
职棒	职业棒球
众院	众议院
军机	军事机密
嫌犯	嫌疑犯
央行	中央银行
男网	男子网球
男单	男子单打
现况	现实情况
证交所	证券交易所
参院	参议院
金饰	黄金首饰
环保	环境保护
工业所	工业经济研究所
警署	警察署
税制	税收制度
和约	和平条约
医界	医疗界
商誉	商业信誉
人大	人民代表大会
工时	工作时间
劳动市场	劳动力市场
女单	女子单打
油市	石油市场
军力	军事力量
国税局	国家税务局
建材	建筑材料
驾照	驾驶执照
市况	市场状况
社群	社会群体
交通量	交通流量
包商	承包商
生化	生物化学
专才	专业人才
财金	财政金融
时事社	时事通讯社
动物所	动物研究所
文摘	文章摘要
网协	网球协会
共管	共同管理
海缆	海底电缆
政团	政治团体
人口所	人口研究所
植物所	植物研究所
女足	女子足球
心防	心理防线
影评	电影评论
马列主义	马克思列宁主义
现值	现实价值
实效	实际效果
女双	女子双打
男双	男子双打
文艺界	文学艺术界
艺文	艺术文化
建商	建筑商
陶艺	陶瓷艺术
女校	女子学校
星战	星球大战
邮费	邮政资费
社科	社会科学
外事	外交事务
音效	音响效果
环保部	环境保护部
时评	时事评论
童军	童子军
花市	花卉市场
海科	海洋科学
金市	黄金市场
金价	黄金价格
人武	人民武装
科研	科学研究
生物所	生物研究所
军情	军事情报
股值	股票价值
个体户	个体工商户
地价	土地价格
全代会	全国代表大会
药物所	药物研究所
医技	医疗技术
世锦赛	世界锦标赛
粮价	粮食价格
拒收	拒绝接收
童装	儿童服装
外军	外国军队
中戏	中央戏剧学院
体协	体育协会
剧评	戏剧评论
修院	修道院
盲校	盲人学校
农科	农业科学
农资	农业生产资料
妇女会	妇女协会
电联	国际电信联盟
财委会	财政委员会
外汇局	外汇管理局
空港	航空港
车市	汽车市场
工研院	工业研究院
女中	女子中学
商交所	商品交易所
国标	国家标准
航母	航空母舰
棉织	棉纺织
电业	电力工业
女垒	女子垒球
私宅	私人住宅
警校	警察学校
世青赛	世界青年锦标赛
农经	农业经济
展馆	展览馆
护校	护士学校
外空	外层空间
官校	军官学校
村委	村民委员会
农技	农业技术
军报	解放军报
职总	职工总会
地学	地球科学
财年	财政年度
职校	职业学校
户政	户籍政策
空压机	空气压缩机
工总	工业总会
体校	体育学校
语言所	语言研究所
中委	中央委员
技校	技工学校
大众传媒	大众传播媒介
国际羽联	国际羽毛球联合会
参会	参加会议
军代表	解放军代表
城管	城市管理
标煤	标准煤
技改	技术改造
博导	博士生导师
体院	体育学院
首师大	首都师范大学
民乐	民族音乐
委办	委员会办公室
交管部门	交通管理部门
建工	建筑工程
交行	交通银行
足校	足球学校
工博会	工业博览会
公交	公共交通
经委	经济委员会
科考队	科学考察队
助研	助理研究员
农大	农业大学
财经委	财政经济委员会
政院	政治学院
居委会	居民委员会
联汇	联系汇率
女乒	女子乒乓球队
男乒	男子乒乓球
国基	国家基础
大本	大学本科
工美	工艺美术品
经院	经济学院
女团	女子团体
纺织部	纺织工业部
工业废物	工业固体废物
知青	知识青年
国际马联	国际马术联合会
彩印	彩色印刷
农房	农民住房
排协	排球协会
旅团	旅行团
军体	军事体育
地矿	地质矿产
花博会	花卉博览会
书艺	书法艺术
中央美院	中央美术学院
国际棋联	国际象棋联合会
实控线	实际控制线
行政庭	行政审判庭
彩照	彩色照片
客量	客流量
社保费	社会保险费
车管	车辆管理
市务	市场业务
舞美	舞台美术
煤炭部	煤炭工业部
劳模	劳动模范
工效	工作效率
女柔	女子柔道
专署	专员公署
美院	美术学院
合同工	合同制工人
女曲	女子曲棍球队
男花	男子花剑
学联	学生联合会
支书	支部书记
艺校	艺术学校
工展会	工业展览会
军检	军事检察院
女花	女子花剑
男曲	男子曲棍球
体彩	体育彩票
国际体联	国际体操联合会
青协	青年协会
心内科	心血管内科
农电	农村用电
主秘	主任秘书
科仪	科学仪器
公铁	公路铁路
责编	责任编辑
交委	交通委员会
街总	街坊总会
外航	外国航空公司
国家经委	国家经济委员会
国统区	国民党统治区
邮市	邮票市场
首体	首都体育馆
林大	林业大学
国际网联	国际网球联合会
心外科	心血管外科
牡丹卡	牡丹信用卡
美编	美术编辑
羽协	羽毛球协会
电教	电化教学
议联	议员联盟
技协	技术协会
西画	西洋画
政校	政治学校
中芭	中央芭蕾舞团
管输	管道输送
林管局	林业管理局
农广校	农业广播电视学校
心梗	心肌梗塞
武联	武术联合会
玻纤	玻璃纤维
环委会	环境保护委员会
职中	职业中学
青工	青年工人
智残	智力残疾
航校	航空学校
建陶	建筑陶瓷
武协	武术协会
火电站	火力发电站
卫片	卫星照片
政研室	政策研究室
商服	商业服务业
农贷	农业贷款
炮团	炮兵团
世运会	世界运动会
计生户	计划生育户
空政	空军政治部
高能所	高能物理研究所
商贷	商业贷款
桥联	桥牌联合会
国际冰联	国际冰球联合会
博协	博物馆协会
农险	农业保险
中运会	中学生运动会
航院	航空学院
热作	热带作物
群艺馆	群众艺术馆
农话	农村电话
世羽赛	世界羽毛球锦标赛
