股价	股票价格
职棒	职业棒球
军机	军事机密
嫌犯	嫌疑犯
央行	中央银行
男网	男子网球
男单	男子单打
现况	现实情况
金饰	黄金首饰
环保	环境保护
警署	警察署
税制	税收制度
和约	和平条约
医界	医疗界
商誉	商业信誉
工时	工作时间
劳动市场	劳动力市场
女单	女子单打
油市	石油市场
军力	军事力量
建材	建筑材料
驾照	驾驶执照
市况	市场状况
社群	社会群体
交通量	交通流量
包商	承包商
生化	生物化学
专才	专业人才
财金	财政金融
时事社	时事通讯社
文摘	文章摘要
共管	共同管理
海缆	海底电缆
政团	政治团体
女足	女子足球
心防	心理防线
影评	电影评论
马列主义	马克思列宁主义
现值	现实价值
实效	实际效果
女双	女子双打
男双	男子双打
文艺界	文学艺术界
艺文	艺术文化
建商	建筑商
陶艺	陶瓷艺术
星战	星球大战
邮费	邮政资费
社科	社会科学
外事	外交事务
音效	音响效果
时评	时事评论
童军	童子军
花市	花卉市场
海科	海洋科学
金市	黄金市场
金价	黄金价格
人武	人民武装
科研	科学研究
军情	军事情报
股值	股票价值
个体户	个体工商户
地价	土地价格
医技	医疗技术
粮价	粮食价格
拒收	拒绝接收
童装	儿童服装
外军	外国军队
剧评	戏剧评论
农科	农业科学
农资	农业生产资料
空港	航空港
车市	汽车市场
女中	女子中学
国标	国家标准
航母	航空母舰
棉织	棉纺织
电业	电力工业
女垒	女子垒球
私宅	私人住宅
农经	农业经济
外空	外层空间
农技	农业技术
军报	解放军报
地学	地球科学
财年	财政年度
户政	户籍政策
空压机	空气压缩机
中委	中央委员
大众传媒	大众传播媒介
参会	参加会议
军代表	解放军代表
城管	城市管理
标煤	标准煤
技改	技术改造
博导	博士生导师
首师大	首都师范大学
民乐	民族音乐
建工	建筑工程
交行	交通银行
公交	公共交通
科考队	科学考察队
助研	助理研究员
农大	农业大学
联汇	联系汇率
女乒	女子乒乓球队
男乒	男子乒乓球
国基	国家基础
大本	大学本科
工美	工艺美术品
女团	女子团体
工业废物	工业固体废物
知青	知识青年
彩印	彩色印刷
农房	农民住房
军体	军事体育
地矿	地质矿产
书艺	书法艺术
实控线	实际控制线
行政庭	行政审判庭
彩照	彩色照片
客量	客流量
社保费	社会保险费
车管	车辆管理
市务	市场业务
舞美	舞台美术
劳模	劳动模范
工效	工作效率
女柔	女子柔道
专署	专员公署
合同工	合同制工人
女曲	女子曲棍球队
男花	男子花剑
支书	支部书记
女花	女子花剑
男曲	男子曲棍球
体彩	体育彩票
心内科	心血管内科
农电	农村用电
主秘	主任秘书
科仪	科学仪器
公铁	公路铁路
责编	责任编辑
外航	外国航空公司
国统区	国民党统治区
邮市	邮票市场
林大	林业大学
心外科	心血管外科
牡丹卡	牡丹信用卡
美编	美术编辑
电教	电化教学
西画	西洋画
管输	管道输送
心梗	心肌梗塞
玻纤	玻璃纤维
职中	职业中学
青工	青年工人
智残	智力残疾
建陶	建筑陶瓷
火电站	火力发电站
卫片	卫星照片
商服	商业服务业
农贷	农业贷款
计生户	计划生育户
商贷	商业贷款
农险	农业保险
热作	热带作物
农话	农村电话
