正选	正式选举
马约	马斯特里赫特条约
跳雪	跳台滑雪
北师大	北京师范大学
行政庭	行政审判庭
复健	恢复健康
工业所	工业经济研究所
禁用	禁止使用
粮菜	粮食和蔬菜
军情	军事情报
陶艺	陶瓷艺术
调研	调查研究
建材	建筑材料
增收	增加收入
沈铁	沈阳铁路局
暨大	暨南大学
组派	组织派遣
中直	中央直属机关
控申	控告申诉
旅团	旅行团
协处	协助处理
巨资	巨额资金
政院	政治学院
拉美经委会	拉丁美洲和加勒比经济委员会
工总	工业总会
前指	前线指挥部
技改	技术改造
地勘	地质勘查
增幅	增长幅度
男单	男子单打
严控	严格控制
引智	引进国外智力
婚龄	结婚年龄
港股	香港股市
教科院	教育科学研究院
分获	分别获得
厂商会	香港中华厂商联合会
保队	保加利亚队
节水	节约用水
日皇	日本天皇
车管	车辆管理
职总	职工总会
工美	工艺美术品
长输	长途运输
国家防总	国家防汛抗旱总指挥部
外经贸	对外经济贸易
乙脑	乙型脑炎
推普	推广普通话
轻卡	轻型卡车
还贷	偿还贷款
工业废物	工业固体废物
农大	农业大学
普九	普及九年制义务教育
世青赛	世界青年锦标赛
调资	调整工资
名导	著名导演
外汇局	外汇管理局
土改	土地改革
援藏	支援西藏
治保	治安保卫
佛协	佛教协会
女举	女子举重
新航	新加坡航空公司
南共体	南部非洲发展共同体
临管会	临时管理委员会
城建	城市建设
舞美	舞台美术
心防	心理防线
南侨	南洋华侨
中芭	中央芭蕾舞团
中控	中央控制
成飞	成都飞机
考纲	考试大纲
基民党	基督教民主党
附中	附属中学
停播	停止播放
牙防	牙病防治
长航	长江航运
重审	重新审查
人防	人民防空
台大	台湾大学
管输	管道输送
劳模	劳动模范
重百	重庆百货
军力	军事力量
宣导	宣传引导
安检	安全检查
公屋	公共房屋
文保	文物保护
激辩	激烈争辩
国贸	国际贸易
参院	参议院
排协	排球协会
读博	攻读博士学位
工体	北京工人体育场
长话	长途电话
运能	运输能力
网协	网球协会
自民	自由民主
专储	专项储备
购股	购买股票
地空导弹	地对空导弹
红高	红色高棉
科考队	科学考察队
军机	军事机密
心外科	心血管外科
国开行	国家开发银行
上工	上海工业
警校	警察学校
邮储	邮政储蓄
外航	外国航空公司
世运会	世界运动会
女乒	女子乒乓球队
工发组织	联合国工业发展组织
亚乒	亚洲乒乓球
触法	触犯法律
伊协	伊斯兰教协会
童军	童子军
中央美院	中央美术学院
治太	治理太湖
产需	生产需求
阿语	阿拉伯语
统战	统一战线
