大运	大学生运动会
民乐团	民族音乐团
林化所	林业化学研究所
女网	女子网球
计控	计量控制
消联	消费者联合会
中心馆	中心图书馆
文体科	文艺体育科
大专	大学专科
铁委	铁路委员会
行政庭	行政审判庭
预赤	预算赤字
手工	手工业
外宾	外国来宾
民政办	民政办公室
商住小区	商业住宅小区
工业所	工业经济研究所
幼师	幼稚园教师
建照	建筑执照
经联会	经济联合会
铁总	铁路总工会
技改费	技术改造费
职灾	职业灾害
环幕	环形银幕
军情	军事情报
陶艺	陶瓷艺术
经济庭	经济审判庭
建材	建筑材料
世界拳协	世界拳击协会
总裁办	总裁办公室
军警宪特	军队警察宪兵特务
美协	美术家协会
旅团	旅行团
国际学联	国际学生联合会
谍参队	军事谍报参谋队
面值	票面价值
劳协	劳动者协会
兵总	兵器工业总公司
全国人大	全国人民代表大会
舞研所	舞蹈研究所
企管站	企业管理站
保健医	保健医生
中央工艺美院	中央工艺美术学院
财税局	财政税务局
外资办	外资办公室
政院	政治学院
海洋所	海洋研究所
影本	电影剧本
私房	私人住房
时流	时代潮流
冶金部	冶金工业部
植化	植物化学
省人大	省人民代表大会
世界针联	世界针灸联合会
工总	工业总会
球阀	球形阀
少先队	少年先锋队
外商	外国商人
绍酒	绍兴酒
经技开发区	经济技术开发区
精仪	精密仪器
口岸办	口岸办公室
计办	计划办公室
核试	核试验
青联节	青年联欢节
保健办	保健办公室
边检站	边防检查站
技改	技术改造
电离计	电离真空计
地富反坏	地主富农反革命分子坏分子
邮工	邮政工会
艺协	艺术家协会
农林牧	农业林业牧业
地热电站	地球热能发电站
政府办	政府办公室
静点	静脉点滴
男单	男子单打
钻饰	钻石首饰饰品
国际柔联	国际柔道联合会
个贷	个人贷款
标样	标准样品
敌档	敌方档案
委主任	居民委员会主任
工经	工业经济
全委会	全体委员会议
水旱	水田旱地
彩色管	彩色显像管
棉办	棉花办公室
硕导	硕士生导师
船管站	船只管理站
交安员	交通安全员
车管	车辆管理
陆积	陆地面积
民艺品	民间艺术品
天地生	天文地理生物
商住楼	商业住宅楼房
文体	文娱体育
职总	职工总会
工美	工艺美术品
人大办	人大办公室
农办	农业办公室
工代会	工人代表大会
行纪	行业纪律
粮校	粮食学校
城运	城市运动会
职校	职业学校
德行	品德行为
剧评	戏剧评论
艺研所	艺术研究所
班务	班级事务
人委	人民委员会
社劳党	社会主义劳动党
信用社	信用合作社
世拳理	世界拳击理事会
手绣	手工刺绣
学代会	学生代表大会
光机所	光学精密机械研究所
网联	网球联合会
核物理	原子核物理学
文秘	文书秘书
文博	文物博物
医械	医疗器械
工业废物	工业固体废物
农大	农业大学
公汽公司	公共汽车公司
武委	武术委员会
中小教联	中学小学教师联合会
菜办	蔬菜办公室
青工部	青年工作部
男警	男性警察
政协办	政协办公室
戏协	戏剧家协会
世象联	世界象棋联合会
自民党	自由民主党
拳总	拳击总会
体疗	体育医疗
地研所	地质研究所
汽修厂	汽车修理厂
工副	工业副业
妇委会	妇女委员会
机院	机械学院
能办	能源办公室
妇幼站	妇女幼儿保健站
世青赛	世界青年锦标赛
华资	华人资金
农职校	农村职业学校
塑化	塑料化工
纺机	纺织机械
曲韵	戏曲音韵
外汇局	外汇管理局
煤机厂	煤矿机械厂
国际桥联	国际桥牌联合会
文艺	文化艺术
政法委	政法委员会
军大	军政大学
茶料	茶叶作料
冰联	冰球联合会
技干	技术干部
报摘	报纸文摘
光缆	光纤通讯电缆
机电部	机械电子工业部
交运	交通运输
技委会	技术委员会
城管委会	城市管理委员会
文代会	文学艺术工作者代表大会
地卫站	地面卫星接收站
固体火箭	固体推进剂火箭
背姿	背部姿势
个调税	个人收入调节税
化医	化学医学
央航	中央航空公司
广电部	广播电视部
市政委	市政工程委员会
财院	财经学院
植物生理所	植物生理研究所
干属	干部家属
刑诉法	刑事诉讼法
党训班	党员培训班
婴幼	婴儿幼儿
图品	图书制品
客货	旅客货物
家财	家庭财产
艺档	艺术档案
院规	学院规章
白权	白人特权
主计	主任会计
规条	规定条款
舞美	舞台美术
软饮	软饮料
煤科	煤炭科学
财税系统	财政税务系统
全锦赛	全国锦标赛
农医	农村医疗
心防	心理防线
制博会	装备制造业博览会
职级	职务级别
教参	教学参考资料
亲邻	亲朋邻居
女干	妇女干部
中芭	中央芭蕾舞团
团寿险	团体人寿保险
行包	行李包裹
科情所	科学情报研究所
盲杖	盲人手杖
保险额	保险金额
武警	武装警察
侨商	华侨商业银行
德智体美	德育智育体育美育
双拥办	双拥办公室
助教	助理教师
体表	身体表面
地质所	地质研究所
农科站	农业科技站
农机局	农业机械局
总体设计	总体规划设计
电表	电测量指示仪表
青科协	青年科技工作者协会
戏文系	戏剧文学系
外侨	外籍侨民
内政办	内政办公室
农研室	农村政策研究室
户政科	户籍政策科
印厂	印刷厂
邮管局	邮电管理局
评文	评论文章
管输	管道输送
机校	机械学校
劳模	劳动模范
军力	军事力量
羽交会	羽绒制品交易会
路桥隧	公路桥梁隧道
海陆空	海港陆路航空
仓管员	仓库管理员
幼托	幼儿园托儿所
硬卧	硬席卧铺
大篮协	大学生篮球协会
科技社	科学技术出版社
义警	义务警察
煤检费	煤炭检查费
病患者	病人患者
