军力	军事力量
年均	每年平均
个税	个人所得税
计生	计划生育
北大	北京大学
交大	交通大学
印尼	印度尼西亚
公厕	公共厕所
汽配	汽车配件
武大	武汉大学
平米	平方米
国贸	国际贸易
学运	学生运动
陆航	陆军航空兵
城建	城市建设
家财	家庭财产
卫校	卫生学校
武运	武术运动
嫌犯	嫌疑犯
参会	参加会议
美院	美术学院
佛协	佛教协会
文娱	文化娱乐
抗战	抗日战争
自贸区	自由贸易区
社科	社会科学
支边	支援边疆
参赛	参加比赛
拉美	拉丁美洲
生化	生物化学
阿语	阿拉伯语
巨资	巨额资金
浙大	浙江大学
创利	创造利润
社群	社会群体
税制	税收制度
党章	党的章程
实操	实际操作
数理化	数学物理化学
经贸	经济贸易
台胞	台湾同胞
个体户	个体工商户
特技	特殊技能
上海交大	上海交通大学
吉大	吉林大学
择业	选择职业
违纪	违反纪律
工大	工业大学
古史	古代历史
辽大	辽宁大学
考纲	考试大纲
温控	温度控制
深交所	深圳证券交易所
市值	市场价值
棉织	棉纺织
建材	建筑材料
师大	师范大学
营收	营业收入
农经	农业经济
沙俄	沙皇俄国
责编	责任编辑
大本	大学本科
农大	农业大学
中院	中级人民法院
北师大	北京师范大学
婚育	结婚生育
修宪	修改宪法
瑞郎	瑞士法郎
统战	统一战线
展馆	展览馆
南大	南京大学
欧陆	欧洲大陆
筹资	筹集资金
主因	主要原因
中职	中级职称
申办	申请办理
尊师	尊敬老师
波幅	波动幅度
禁用	禁止使用
私企	私营企业
自营	自己经营
性征	性别特征
文教	文化教育
工时	工作时间
安大	安徽大学
观赛	观看比赛
衣裤	衣服裤子
主控	主要控制
职校	职业学校
港姐	香港小姐
南师	南京师范大学
开拍	开始拍摄
药化	药物化学
军机	军事机密
编导	编剧和导演
足校	足球学校
义警	义务警察
经院	经济学院
个贷	个人贷款
暨大	暨南大学
硕导	硕士生导师
博导	博士生导师
民乐	民族音乐
农金	农村金融
时评	时事评论
陕甘	陕西甘肃
外籍	外国国籍
上交所	上海证券交易所
知青	知识青年
显效	显著效果
地空导弹	地对空导弹
制程	制造过程
增速	增长速度
台企	台湾企业
时限	时间限制
厦大	厦门大学
军管	军事管制
西语	西班牙语
交投	交易投资
长话	长途电话
印厂	印刷厂
越战	越南战争
电控	电气控制
毛选	毛泽东选集
蒙族	蒙古族
呼市	呼和浩特市
摩步	摩托化步兵
厨卫	厨房卫生
大众传媒	大众传播媒介
专才	专业人才
医大	医科大学
商贸	商业贸易
牛丸	牛肉丸子
督查	监督检查
军情	军事情报
招教	招聘教师
施压	施加压力
电讯	电子通讯
国开行	国家开发银行
质监	质量监督
高工	高级工程师
深港	深圳和香港
参训	参加训练
支前	支援前线
婚龄	结婚年龄
男单	男子单打
上财	上海财经大学
体院	体育学院
投运	投入运行
经管	经济管理
国际共运	国际共产主义运动
高干	高级干部
华师大	华东师范大学
空爆	空中爆炸
出访	出国访问
钱江	钱塘江
高知	高级知识分子
思政	思想政治
刑拘	刑事拘留
外院	外国语学院
舞美	舞台美术
蔬果	蔬菜水果
物理所	物理研究所
上博	上海博物馆
投产	投入生产
停售	停止销售
违宪	违反宪法
上戏	上海戏剧学院
制宪	制定宪法
劳动市场	劳动力市场
耶教	耶稣教
体彩	体育彩票
劳模	劳动模范
党纪	党的纪律
云大	云南大学
首师大	首都师范大学
经合	经济合作
声韵	声母韵母
现况	现实情况
商经	商业经济
教院	教育学院
反帝	反对帝国主义
邮储	邮政储蓄
高师	高等师范
应化	应用化学
心防	心理防线
影星	电影明星
交行	交通银行
轮值	轮流值班
南艺	南京艺术学院
世贸	世界贸易
化物	化学物理
城郊	城市郊区
概览	大概浏览
经援	经济援助
旅团	旅行团
增幅	增长幅度
节庆	节日庆典
劳教	劳动教养
自查	自己检查
局地	局部地区
丝路	丝绸之路
内控	内部控制
交管部门	交通管理部门
作协	作家协会
环卫	环境卫生
声像	声音图像
农运	农民运动
市售	市场销售
民诉	民事诉讼
西工大	西北工业大学
质保	质量保证
交通量	交通流量
台大	台湾大学
汉译	汉语翻译
质控	质量控制
混双	男女混合双打
触法	触犯法律
道协	道教协会
提价	提高价格
公卫	公共卫生
个唱	个人演唱会
社保费	社会保险费
受托	接受委托
星战	星球大战
节电	节约用电
民舞	民族舞蹈
定存	定期存款
经研	经济研究
特需	特殊需要
无照	无牌照
军援	军事援助
储运	储存运输
莎剧	莎士比亚戏剧
附小	附属小学
唯物史观	唯物主义历史观
劳改	劳动改造
全麻	全身麻醉
特困	特殊困难
月均	每月平均
日银	日本银行
增产	增加产量
领馆	领事馆
忠勇	忠诚勇敢
联合国安理会	联合国安全理事会
基材	基本材料
电子科大	电子科技大学
首图	首都图书馆
上感	上呼吸道感染
血检	血液检测
时流	时代潮流
运能	运输能力
检法	检察院和法院
车管	车辆管理
女校	女子学校
哥大	哥伦比亚大学
民初	民国初年
彩印	彩色印刷
胆石	胆囊结石
节水	节约用水
品管	品质管理
西南交大	西南交通大学
警署	警察署
土改	土地改革
拒付	拒绝支付
南工	南京工学院
港府	香港政府
虫草	冬虫夏草
火电站	火力发电站
推普	推广普通话
调价	调整价格
花市	花卉市场
工学	工作和学习
政改	政治体制改革
刑事技术	刑事科学技术
局麻	局部麻醉
增收	增加收入
宣教	宣传教育
高息	高额利息
林大	林业大学
实效	实际效果
师友	老师和朋友
建工	建筑工程
参访	参观访问
管委	管理委员会
统管	统一管理
中戏	中央戏剧学院
刑辩	刑事辩护
英荷	英国荷兰
马列主义	马克思列宁主义
基训	基本训练
商贷	商业贷款
尸解	尸体解剖
严管	严格管理
经适房	经济适用房
国科大	国防科技大学
汇演	汇报演出
附院	附属医院
植保	植物保护
法援	法律援助
外汇局	外汇管理局
首体	首都体育馆
实绩	实际业绩
辽沈	辽宁沈阳
台生	台湾学生
北青报	北京青年报
文保	文物保护
古建	古代建筑
心梗	心肌梗塞
证交所	证券交易所
艺校	艺术学校
植物所	植物研究所
商誉	商业信誉
深大	深圳大学
调焦	调整焦距
研考	研究生入学考试
初教	初等教育
助研	助理研究员
普工	普通工人
公审	公开审判
玻纤	玻璃纤维
行止	行为举止
脊灰	脊髓灰质炎
乌市	乌鲁木齐市
二次大战	第二次世界大战
上师大	上海师范大学
金饰	黄金首饰
省府	省政府
肌注	肌肉注射
军贸	军火贸易
抬价	抬高价格
热工	热能工程
委培	委托培养
童军	童子军
精仪	精密仪器
医技	医疗技术
职数	职位数量
交运	交通运输
建外	建国门外
伊协	伊斯兰教协会
电业	电力工业
脱险	脱离危险
严控	严格控制
劳保	劳动保护
产销	生产和销售
电院	电子工程学院
成教	成人教育
巡讲	巡回演讲
脑体	脑力劳动和体力劳动
污水厂	污水处理厂
世行	世界银行
委贷	委托贷款
组训	组织训练
劳动人口	劳动年龄人口
业委会	业主委员会
内审	内部审计
民品	民用品
乙脑	乙型脑炎
运管	运输管理
汽修厂	汽车修理厂
俄联邦	俄罗斯联邦
美编	美术编辑
妇检	妇科检查
刑庭	刑事法庭
商流	商品流通
控温	控制温度
国府	国民政府
武备	武器装备
柠茶	柠檬茶
红高	红色高棉
增税	增加税收
计息	计算利息
批捕	批准逮捕
农技	农业技术
行署	行政公署
财长	财政部部长
世卫组织	世界卫生组织
校办	校长办公室
二医大	上海第二医科大学
高能所	高能物理研究所
燕大	燕京大学
自评	自己评价
护校	护士学校
人武	人民武装
炮团	炮兵团
土管	土地管理
粮价	粮食价格
律协	律师协会
巴统	巴黎统筹委员会
财金	财政金融
男乒	男子乒乓球
共管	共同管理
彩照	彩色照片
普教	普通教育
短训班	短期培训班
武协	武术协会
上音	上海音乐学院
商标权	商标专用权
坦承	坦白承认
私宅	私人住宅
中央美院	中央美术学院
亚青	亚洲青年
扬大	扬州大学
敌友	敌人和朋友
调温	调节温度
手拖	手扶拖拉机
纪检委	纪律检查委员会
化武	化学武器
电镜	电子显微镜
速算	快速计算
艺文	艺术文化
信保	信用保证
跌势	下跌趋势
善信	善男信女
党建	党的建设
外军	外国军队
电建	电力建设
公判	公开宣判
强震	强烈地震
辽吉	辽宁吉林
校运会	学校运动会
自民	自由民主
上铁	上海铁路局
民院	民族学院
省医	省立医院
北体	北京体育大学
副主委	副主任委员
宣导	宣传引导
杜诗	杜甫的诗
调资	调整工资
职棒	职业棒球
编导演	编剧导演演员
数学所	数学研究所
市况	市场状况
实控线	实际控制线
国家计委	国家计划委员会
涉政	涉及政治
痕检	痕迹检验
数显	数字显示
摄协	摄影家协会
再障	再生障碍性贫血
优才	优秀人才
太阳电池	太阳能电池
街办	街道办事处
动检	动物检疫
普文	普通文科
绍酒	绍兴酒
陆院	陆军学院
军检	军事检察院
音教	音乐教育
分获	分别获得
班务	班级事务
内刊	内部刊物
农地	农业用地
