军力	军事力量
计生	计划生育
北大	北京大学
印尼	印度尼西亚
公厕	公共厕所
武大	武汉大学
平米	平方米
国贸	国际贸易
学运	学生运动
城建	城市建设
嫌犯	嫌疑犯
参会	参加会议
美院	美术学院
文娱	文化娱乐
抗战	抗日战争
社科	社会科学
参赛	参加比赛
拉美	拉丁美洲
生化	生物化学
阿语	阿拉伯语
浙大	浙江大学
社群	社会群体
实操	实际操作
数理化	数学物理化学
台胞	台湾同胞
个体户	个体工商户
特技	特殊技能
上海交大	上海交通大学
吉大	吉林大学
择业	选择职业
古史	古代历史
考纲	考试大纲
市值	市场价值
建材	建筑材料
营收	营业收入
大本	大学本科
农大	农业大学
中院	中级人民法院
北师大	北京师范大学
统战	统一战线
展馆	展览馆
南大	南京大学
欧陆	欧洲大陆
筹资	筹集资金
主因	主要原因
中职	中级职称
禁用	禁止使用
私企	私营企业
自营	自己经营
文教	文化教育
工时	工作时间
衣裤	衣服裤子
职校	职业学校
南师	南京师范大学
药化	药物化学
编导	编剧和导演
经院	经济学院
暨大	暨南大学
博导	博士生导师
民乐	民族音乐
外籍	外国国籍
知青	知识青年
增速	增长速度
时限	时间限制
西语	西班牙语
越战	越南战争
毛选	毛泽东选集
厨卫	厨房卫生
专才	专业人才
高工	高级工程师
婚龄	结婚年龄
上财	上海财经大学
体院	体育学院
经管	经济管理
华师大	华东师范大学
钱江	钱塘江
高知	高级知识分子
思政	思想政治
外院	外国语学院
云大	云南大学
现况	现实情况
交行	交通银行
旅团	旅行团
内控	内部控制
环卫	环境卫生
市售	市场销售
质保	质量保证
台大	台湾大学
公卫	公共卫生
星战	星球大战
定存	定期存款
哥大	哥伦比亚大学
西南交大	西南交通大学
土改	土地改革
港府	香港政府
推普	推广普通话
林大	林业大学
实效	实际效果
建工	建筑工程
中戏	中央戏剧学院
马列主义	马克思列宁主义
商贷	商业贷款
附院	附属医院
古建	古代建筑
心梗	心肌梗塞
艺校	艺术学校
深大	深圳大学
普工	普通工人
严控	严格控制
成教	成人教育
世行	世界银行
内审	内部审计
国府	国民政府
武备	武器装备
红高	红色高棉
自评	自己评价
自民	自由民主
