生化	生物化学
武大	武汉大学
普工	普通工人
主因	主要原因
中职	中级职称
北大	北京大学
职校	职业学校
平米	平方米
北师大	北京师范大学
建材	建筑材料
参赛	参加比赛
港人	香港人
婚龄	结婚年龄
时限	时间限制
美院	美术学院
内审	内部审计
古建	古代建筑
抗战	抗日战争
经管	经济管理
数理化	数学物理化学
欧陆	欧洲大陆
建工	建筑工程
个体户	个体工商户
计生	计划生育
体院	体育学院
港大	香港大学
暨大	暨南大学
浙大	浙江大学
军力	军事力量
上财	上海财经大学
国贸	国际贸易
推普	推广普通话
越战	越南战争
营收	营业收入
禁用	禁止使用
东大	东北大学
南大	南京大学
社科	社会科学
军报	解放军报
深大	深圳大学
中戏	中央戏剧学院
中央美院	中央美术学院
现况	现实情况
农大	农业大学
增速	增长速度
乐评	音乐评论
商贷	商业贷款
印尼	印度尼西亚
择业	选择职业
外籍	外国国籍
台大	台湾大学
上海交大	上海交通大学
自营	自己经营
参会	参加会议
毛选	毛泽东选集
考纲	考试大纲
吉大	吉林大学
文教	文化教育
展馆	展览馆
社群	社会群体
特技	特殊技能
哥大	哥伦比亚大学
实操	实际操作
文娱	文化娱乐
持平	保持平衡
台胞	台湾同胞
嫌犯	嫌疑犯
川大	四川大学
学运	学生运动
拉美	拉丁美洲
思政	思想政治
附院	附属医院
公厕	公共厕所
高知	高级知识分子
钱江	钱塘江
西语	西班牙语
差旅	出差旅行
内控	内部控制
外院	外国语学院
成教	成人教育
中院	中级人民法院
城建	城市建设
西工大	西北工业大学
北邮	北京邮电大学
安大	安徽大学
林大	林业大学
耗能	消耗能量
土改	土地改革
统战	统一战线
工时	工作时间
大本	大学本科
公卫	公共卫生
华师大	华东师范大学
影业	电影业
严控	严格控制
云大	云南大学
环卫	环境卫生
马列主义	马克思列宁主义
市售	市场销售
星战	星球大战
港府	香港政府
质保	质量保证
一产	第一产业
南师	南京师范大学
药化	药物化学
外军	外国军队
金价	黄金价格
知青	知识青年
衣裤	衣服裤子
自评	自己评价
博导	博士生导师
心梗	心肌梗塞
内销	国内销售
民乐	民族音乐
高干	高级干部
厨卫	厨房卫生
西南交大	西南交通大学
筹资	筹集资金
武备	武器装备
红高	红色高棉
实效	实际效果
交行	交通银行
阿语	阿拉伯语
旅团	旅行团
高工	高级工程师
复健	恢复健康
经院	经济学院
国府	国民政府
车市	汽车市场
古史	古代历史
自民	自由民主
艺校	艺术学校
定存	定期存款
瑞郎	瑞士法郎
受教	接受教育
专才	专业人才
辽大	辽宁大学
世行	世界银行
三产	第三产业
