北师大	北京师范大学
复健	恢复健康
禁用	禁止使用
军情	军事情报
建材	建筑材料
增收	增加收入
暨大	暨南大学
旅团	旅行团
巨资	巨额资金
海洋所	海洋研究所
内异症	子宫内膜异位症
时流	时代潮流
精仪	精密仪器
技改	技术改造
地勘	地质勘查
增幅	增长幅度
严控	严格控制
婚龄	结婚年龄
分获	分别获得
节水	节约用水
车管	车辆管理
北青报	北京青年报
长输	长途运输
班务	班级事务
乙脑	乙型脑炎
推普	推广普通话
农大	农业大学
支边	支援边疆
调资	调整工资
名导	著名导演
外汇局	外汇管理局
土改	土地改革
佛协	佛教协会
自组	自己组建
交运	交通运输
上财	上海财经大学
国际共运	国际共产主义运动
城建	城市建设
舞美	舞台美术
全锦赛	全国锦标赛
心防	心理防线
升幅	上升幅度
中芭	中央芭蕾舞团
考纲	考试大纲
台大	台湾大学
印厂	印刷厂
劳模	劳动模范
军力	军事力量
赛果	比赛结果
宣导	宣传引导
仓管员	仓库管理员
文保	文物保护
激辩	激烈争辩
乌市	乌鲁木齐市
国贸	国际贸易
数理化	数学物理化学
长话	长途电话
运能	运输能力
自民	自由民主
抽佣	抽取佣金
地空导弹	地对空导弹
红高	红色高棉
年均	每年平均
军机	军事机密
国开行	国家开发银行
邮储	邮政储蓄
冰啤	冰镇啤酒
触法	触犯法律
伊协	伊斯兰教协会
童军	童子军
受教	接受教育
公汽	公共汽车
中央美院	中央美术学院
长项	擅长的项目
康梁	康有为梁启超
阿语	阿拉伯语
统战	统一战线
粮价	粮食价格
特技	特殊技能
财长	财政部部长
时限	时间限制
首体	首都体育馆
委贷	委托贷款
敌友	敌人和朋友
月均	每月平均
病检	病理检查
数显	数字显示
研考	研究生入学考试
高专	高等专科学校
电讯	电子通讯
包商	承包商
停售	停止销售
调焦	调整焦距
社保费	社会保险费
空运	航空运输
十届	第十届
港岛	香港岛
二次大战	第二次世界大战
安师大	安徽师范大学
空爆	空中爆炸
钱江	钱塘江
公审	公开审判
交通量	交通流量
刑事技术	刑事科学技术
附小	附属小学
世青	世界青年
产供	生产供应
婚育	结婚生育
纪检委	纪律检查委员会
作协	作家协会
数学所	数学研究所
镇反	镇压反革命
民乐	民族音乐
职中	职业中学
沈大	沈阳大学
世行	世界银行
成教	成人教育
联交所	香港联合交易所
国府	国民政府
组训	组织训练
声像	声音图像
支前	支援前线
越战	越南战争
脱险	脱离危险
现值	现实价值
内审	内部审计
首师大	首都师范大学
军检	军事检察院
内控	内部控制
林大	林业大学
车市	汽车市场
商誉	商业信誉
大本	大学本科
高知	高级知识分子
南模	上海南洋模范中学
医界	医疗界
梅鹿	梅花鹿
专才	专业人才
善信	善男信女
上交所	上海证券交易所
火电站	火力发电站
控温	控制温度
出访	出国访问
特困	特殊困难
港警	香港警察
经适房	经济适用房
音教	音乐教育
胆石	胆囊结石
质保	质量保证
自营	自己经营
物理所	物理研究所
地院	地质学院
拒收	拒绝接收
药化	药物化学
牛丸	牛肉丸子
经管	经济管理
波幅	波动幅度
足校	足球学校
印尼	印度尼西亚
再障	再生障碍性贫血
放贷	发放贷款
普教	普通教育
无照	无牌照
南师	南京师范大学
坦承	坦白承认
校办	校长办公室
展馆	展览馆
反帝	反对帝国主义
科仪	科学仪器
寸照	一寸照片
欧陆	欧洲大陆
两制	两种制度
嫌犯	嫌疑犯
生化	生物化学
矿大	矿业大学
筹资	筹集资金
经援	经济援助
规管	规划管理
彩印	彩色印刷
锡盟	锡林郭勒盟
私宅	私人住宅
劳动人口	劳动年龄人口
职棒	职业棒球
优教	优秀教师
上博	上海博物馆
创利	创造利润
土管	土地管理
高息	高额利息
电镜	电子显微镜
环卫	环境卫生
市况	市场状况
计财部	计划财务部
审案	审理案件
委培	委托培养
私物	私人物品
古建	古代建筑
西南交大	西南交通大学
军管	军事管制
武协	武术协会
北邮	北京邮电大学
实绩	实际业绩
武运	武术运动
一产	第一产业
政研室	政策研究室
外宣	对外宣传
高干	高级干部
劳动市场	劳动力市场
创汇	创收外汇
飞安	飞行安全
抗战	抗日战争
毛选	毛泽东选集
防保	预防保健
台胞	台湾同胞
内刊	内部刊物
世贸	世界贸易
美院	美术学院
迎检	迎接检查
武备	武器装备
三军医大	第三军医大学
增产	增加产量
信保	信用保证
川妹	四川妹子
厨卫	厨房卫生
附院	附属医院
南农大	南京农业大学
巡讲	巡回演讲
巴统	巴黎统筹委员会
上感	上呼吸道感染
计息	计算利息
瑞郎	瑞士法郎
涉政	涉及政治
申办	申请办理
产销	生产和销售
上海交大	上海交通大学
商贸	商业贸易
增税	增加税收
投运	投入运行
黄陵	黄帝陵
主控	主要控制
农经	农业经济
归侨	归国华侨
彩照	彩色照片
房贴	住房补贴
乐评	音乐评论
手外科	手术外科
北大	北京大学
血检	血液检测
时评	时事评论
东大	东北大学
文教	文化教育
金饰	黄金首饰
中职	中级职称
校纪	学校纪律
党纪	党的纪律
户政	户籍政策
尊师	尊敬老师
弹速	子弹速度
星战	星球大战
军援	军事援助
摩步	摩托化步兵
计生	计划生育
俄联邦	俄罗斯联邦
轮值	轮流值班
港大	香港大学
苏锡常	苏州无锡常州
卫校	卫生学校
知青	知识青年
副主委	副主任委员
交管部门	交通管理部门
农地	农业用地
声韵	声母韵母
川大	四川大学
警员	警务人员
社科	社会科学
内销	国内销售
农运	农民运动
艺校	艺术学校
责编	责任编辑
公厕	公共厕所
农金	农村金融
普工	普通工人
南工	南京工学院
地矿	地质矿产
摄制	拍摄制作
博导	博士生导师
棒喝	当头棒喝
人武	人民武装
宣教	宣传教育
护校	护士学校
港商	香港商人
植物所	植物研究所
西语	西班牙语
学则	学生守则
主因	主要原因
城郊	城市郊区
台客	台湾旅客
受援	接受援助
建工	建筑工程
深大	深圳大学
耶教	耶稣教
督查	监督检查
体院	体育学院
墨城	墨西哥城
尸解	尸体解剖
经贸	经济贸易
声画	声音和画面
拉美	拉丁美洲
空压机	空气压缩机
人教社	人民教育出版社
党建	党的建设
助研	助理研究员
差旅	出差旅行
像带	录像带
棉织	棉纺织
手拖	手扶拖拉机
朝军	朝鲜军队
劳教	劳动教养
汤杯	汤姆斯杯
概览	大概浏览
初教	初等教育
修宪	修改宪法
经研	经济研究
优才	优秀人才
五四三	五讲四美三热爱
建外	建国门外
西画	西洋画
交行	交通银行
投产	投入生产
拒付	拒绝支付
公判	公开宣判
马列主义	马克思列宁主义
校企	学校企业
批捕	批准逮捕
经合	经济合作
国家计委	国家计划委员会
云大	云南大学
维港	维多利亚港
哈医大	哈尔滨医科大学
治则	治疗原则
特钢	特种钢材
税制	税收制度
太阳电池	太阳能电池
特需	特殊需要
农科	农业科学
营收	营业收入
商标权	商标专用权
外销	对外销售
平米	平方米
港人	香港人
电建	电力建设
武大	武汉大学
自贸区	自由贸易区
技监	技术监督
金价	黄金价格
校运会	学校运动会
文印	文件打印
影业	电影业
吉大	吉林大学
陆院	陆军学院
土军	土耳其军队
杜诗	杜甫的诗
药物所	药物研究所
西北师大	西北师范大学
台企	台湾企业
农技	农业技术
持平	保持平衡
热工	热能工程
社教	社会教育
自查	自己检查
交投	交易投资
首图	首都图书馆
国家民委	国家民族事务委员会
陆航	陆军航空兵
三产	第三产业
编导演	编剧导演演员
提价	提高价格
自评	自己评价
中院	中级人民法院
上戏	上海戏剧学院
外军	外国军队
杭大	杭州大学
参访	参观访问
涉台	涉及台湾
美校	美术学校
空港	航空港
衣裤	衣服裤子
植保	植物保护
储运	储存运输
公卫	公共卫生
外院	外国语学院
二医大	上海第二医科大学
职校	职业学校
严管	严格管理
医技	医疗技术
电控	电气控制
军贸	军火贸易
上音	上海音乐学院
耗能	消耗能量
高能所	高能物理研究所
南艺	南京艺术学院
政改	政治体制改革
台生	台湾学生
女监	女子监狱
体彩	体育彩票
沙俄	沙皇俄国
裂伤	撕裂伤
管委	管理委员会
花市	花卉市场
抬价	抬高价格
商贷	商业贷款
跌势	下跌趋势
驾机	驾驶飞机
应化	应用化学
参会	参加会议
外籍	外国国籍
村委	村民委员会
学运	学生运动
港府	香港政府
运管	运输管理
上铁	上海铁路局
党工	党务工作
西工大	西北工业大学
燕大	燕京大学
思政	思想政治
安医大	安徽医科大学
日银	日本银行
受托	接受委托
密报	秘密报告
职数	职位数量
混双	男女混合双打
邓选	邓小平文选
外空	外层空间
社群	社会群体
阿盟	阿拉伯国家联盟
现况	现实情况
证交所	证券交易所
艺文	艺术文化
港姐	香港小姐
尊老	尊重老人
航院	航空学院
特委	特别委员会
生物所	生物研究所
南大	南京大学
警署	警察署
中戏	中央戏剧学院
省医	省立医院
炮团	炮兵团
战史	作战史
调温	调节温度
古史	古代历史
党章	党的章程
市售	市场销售
拳赛	拳击比赛
汉译	汉语翻译
文娱	文化娱乐
增速	增长速度
脑体	脑力劳动和体力劳动
调价	调整价格
基材	基本材料
商经	商业经济
呼市	呼和浩特市
支农	支援农业
汇演	汇报演出
个体户	个体工商户
劳改	劳动改造
参训	参加训练
亚青	亚洲青年
世卫组织	世界卫生组织
高工	高级工程师
玻纤	玻璃纤维
美编	美术编辑
男网	男子网球
心搏	心脏搏动
实效	实际效果
大众传媒	大众传播媒介
参赛	参加比赛
华师大	华东师范大学
社情	社会情况
经院	经济学院
全麻	全身麻醉
短训班	短期培训班
军报	解放军报
高检	最高人民检察院
要项	重要项目
街办	街道办事处
北体	北京体育大学
心梗	心肌梗塞
北京人艺	北京人民艺术剧院
治污	治理污染
深港	深圳和香港
名记	著名记者
英荷	英国荷兰
财金	财政金融
日俘	日本战俘
辽沈	辽宁沈阳
海缆	海底电缆
劳保	劳动保护
军警	军队警察
聚赌	聚众赌博
定存	定期存款
污水厂	污水处理厂
统管	统一管理
省府	省政府
择业	选择职业
电业	电力工业
浙大	浙江大学
上师大	上海师范大学
公校	公办学校
编校	编辑校对
高师	高等师范
哥大	哥伦比亚大学
肌注	肌肉注射
安大	安徽大学
显效	显著效果
强震	强烈地震
实操	实际操作
普文	普通文科
工时	工作时间
辽大	辽宁大学
实控线	实际控制线
深交所	深圳证券交易所
男乒	男子乒乓球
基训	基本训练
国科大	国防科技大学
温控	温度控制
