生化	生物化学
武大	武汉大学
普工	普通工人
主因	主要原因
长话	长途电话
现值	现实价值
上铁	上海铁路局
中职	中级职称
北大	北京大学
职校	职业学校
平米	平方米
助研	助理研究员
北师大	北京师范大学
寸照	一寸照片
军警	军队警察
建材	建筑材料
参赛	参加比赛
上戏	上海戏剧学院
税制	税收制度
港人	香港人
主控	主要控制
婚龄	结婚年龄
时限	时间限制
美院	美术学院
停售	停止销售
军机	军事机密
内审	内部审计
古建	古代建筑
抗战	抗日战争
经管	经济管理
数理化	数学物理化学
欧陆	欧洲大陆
建工	建筑工程
个体户	个体工商户
计生	计划生育
体院	体育学院
舞美	舞台美术
港大	香港大学
暨大	暨南大学
浙大	浙江大学
严管	严格管理
空运	航空运输
省医	省立医院
劳模	劳动模范
自贸区	自由贸易区
军力	军事力量
上财	上海财经大学
国贸	国际贸易
外销	对外销售
推普	推广普通话
巨资	巨额资金
越战	越南战争
财长	财政部部长
营收	营业收入
禁用	禁止使用
月均	每月平均
东大	东北大学
南大	南京大学
社科	社会科学
军报	解放军报
深大	深圳大学
全麻	全身麻醉
中戏	中央戏剧学院
巡讲	巡回演讲
中央美院	中央美术学院
时评	时事评论
刑事技术	刑事科学技术
现况	现实情况
农大	农业大学
增速	增长速度
乐评	音乐评论
北体	北京体育大学
商贷	商业贷款
印尼	印度尼西亚
乌市	乌鲁木齐市
副主委	副主任委员
择业	选择职业
外籍	外国国籍
台大	台湾大学
校企	学校企业
上海交大	上海交通大学
市况	市场状况
自营	自己经营
参会	参加会议
毛选	毛泽东选集
宣导	宣传引导
考纲	考试大纲
吉大	吉林大学
增幅	增长幅度
修宪	修改宪法
文教	文化教育
沙俄	沙皇俄国
车管	车辆管理
港岛	香港岛
金饰	黄金首饰
展馆	展览馆
社群	社会群体
特技	特殊技能
放贷	发放贷款
政改	政治体制改革
调价	调整价格
温控	温度控制
经贸	经济贸易
哥大	哥伦比亚大学
实操	实际操作
文娱	文化娱乐
出访	出国访问
持平	保持平衡
汉译	汉语翻译
台胞	台湾同胞
储运	储存运输
嫌犯	嫌疑犯
川大	四川大学
朝军	朝鲜军队
军管	军事管制
学运	学生运动
特需	特殊需要
拉美	拉丁美洲
村委	村民委员会
劳保	劳动保护
委培	委托培养
分获	分别获得
党章	党的章程
思政	思想政治
计息	计算利息
附院	附属医院
公厕	公共厕所
高知	高级知识分子
钱江	钱塘江
世贸	世界贸易
两制	两种制度
西语	西班牙语
差旅	出差旅行
精仪	精密仪器
亚青	亚洲青年
血检	血液检测
内控	内部控制
裂伤	撕裂伤
外院	外国语学院
首图	首都图书馆
成教	成人教育
杜诗	杜甫的诗
中院	中级人民法院
电控	电气控制
城建	城市建设
西工大	西北工业大学
坦承	坦白承认
宣教	宣传教育
北邮	北京邮电大学
调资	调整工资
党建	党的建设
卫校	卫生学校
安大	安徽大学
林大	林业大学
婚育	结婚生育
耗能	消耗能量
组训	组织训练
土改	土地改革
职棒	职业棒球
台企	台湾企业
统战	统一战线
编导演	编剧导演演员
工时	工作时间
艺文	艺术文化
摄制	拍摄制作
高息	高额利息
升幅	上升幅度
大本	大学本科
文印	文件打印
公卫	公共卫生
华师大	华东师范大学
影业	电影业
研考	研究生入学考试
世卫组织	世界卫生组织
严控	严格控制
云大	云南大学
无照	无牌照
管委	管理委员会
首师大	首都师范大学
环卫	环境卫生
统管	统一管理
长项	擅长的项目
自查	自己检查
上交所	上海证券交易所
马列主义	马克思列宁主义
劳动人口	劳动年龄人口
尊老	尊重老人
川妹	四川妹子
市售	市场销售
星战	星球大战
外汇局	外汇管理局
二医大	上海第二医科大学
劳教	劳动教养
高师	高等师范
数学所	数学研究所
尊师	尊敬老师
节水	节约用水
城郊	城市郊区
商贸	商业贸易
战史	作战史
港府	香港政府
抬价	抬高价格
质保	质量保证
污水厂	污水处理厂
花市	花卉市场
一产	第一产业
空港	航空港
军援	军事援助
投运	投入运行
私宅	私人住宅
批捕	批准逮捕
激辩	激烈争辩
实控线	实际控制线
南师	南京师范大学
武协	武术协会
药化	药物化学
外军	外国军队
国家计委	国家计划委员会
作协	作家协会
航院	航空学院
包商	承包商
金价	黄金价格
涉政	涉及政治
物理所	物理研究所
知青	知识青年
衣裤	衣服裤子
控温	控制温度
自评	自己评价
足校	足球学校
深交所	深圳证券交易所
博导	博士生导师
台客	台湾旅客
心梗	心肌梗塞
彩印	彩色印刷
概览	大概浏览
财金	财政金融
人武	人民武装
电业	电力工业
内销	国内销售
民乐	民族音乐
责编	责任编辑
商标权	商标专用权
粮价	粮食价格
名记	著名记者
附小	附属小学
高干	高级干部
厨卫	厨房卫生
数显	数字显示
提价	提高价格
西南交大	西南交通大学
再障	再生障碍性贫血
陆航	陆军航空兵
优才	优秀人才
呼市	呼和浩特市
公审	公开审判
校运会	学校运动会
产销	生产和销售
二次大战	第二次世界大战
警员	警务人员
支农	支援农业
脱险	脱离危险
筹资	筹集资金
邮储	邮政储蓄
调温	调节温度
参训	参加训练
武运	武术运动
商誉	商业信誉
太阳电池	太阳能电池
街办	街道办事处
投产	投入生产
十届	第十届
职数	职位数量
武备	武器装备
轮值	轮流值班
植保	植物保护
外宣	对外宣传
劳改	劳动改造
交管部门	交通管理部门
普文	普通文科
英荷	英国荷兰
红高	红色高棉
陆院	陆军学院
军检	军事检察院
音教	音乐教育
拒收	拒绝接收
公判	公开宣判
港姐	香港小姐
巴统	巴黎统筹委员会
辽沈	辽宁沈阳
国际共运	国际共产主义运动
实效	实际效果
国科大	国防科技大学
警署	警察署
增税	增加税收
党工	党务工作
交行	交通银行
跌势	下跌趋势
阿语	阿拉伯语
北京人艺	北京人民艺术剧院
深港	深圳和香港
交运	交通运输
职中	职业中学
班务	班级事务
内刊	内部刊物
声像	声音图像
农地	农业用地
佛协	佛教协会
旅团	旅行团
特困	特殊困难
高工	高级工程师
申办	申请办理
地院	地质学院
年均	每年平均
校办	校长办公室
复健	恢复健康
敌友	敌人和朋友
公校	公办学校
触法	触犯法律
私物	私人物品
棉织	棉纺织
拒付	拒绝支付
经院	经济学院
社保费	社会保险费
苏锡常	苏州无锡常州
名导	著名导演
国府	国民政府
台生	台湾学生
交投	交易投资
安师大	安徽师范大学
汇演	汇报演出
车市	汽车市场
矿大	矿业大学
仓管员	仓库管理员
古史	古代历史
科仪	科学仪器
脑体	脑力劳动和体力劳动
户政	户籍政策
电建	电力建设
电镜	电子显微镜
黄陵	黄帝陵
港商	香港商人
波幅	波动幅度
自民	自由民主
艺校	艺术学校
南艺	南京艺术学院
医界	医疗界
交通量	交通流量
纪检委	纪律检查委员会
受托	接受委托
高专	高等专科学校
定存	定期存款
体彩	体育彩票
像带	录像带
地矿	地质矿产
瑞郎	瑞士法郎
心防	心理防线
军情	军事情报
混双	男女混合双打
棒喝	当头棒喝
文保	文物保护
声画	声音和画面
省府	省政府
男乒	男子乒乓球
善信	善男信女
俄联邦	俄罗斯联邦
牛丸	牛肉丸子
受教	接受教育
安医大	安徽医科大学
高能所	高能物理研究所
实绩	实际业绩
燕大	燕京大学
上师大	上海师范大学
生物所	生物研究所
声韵	声母韵母
农科	农业科学
大众传媒	大众传播媒介
增收	增加收入
南工	南京工学院
经适房	经济适用房
支前	支援前线
锡盟	锡林郭勒盟
专才	专业人才
西北师大	西北师范大学
杭大	杭州大学
乙脑	乙型脑炎
强震	强烈地震
上音	上海音乐学院
反帝	反对帝国主义
玻纤	玻璃纤维
汤杯	汤姆斯杯
火电站	火力发电站
人教社	人民教育出版社
军贸	军火贸易
支边	支援边疆
运能	运输能力
