北师大	北京师范大学
复健	恢复健康
价改	价格改革
禁用	禁止使用
军情	军事情报
建材	建筑材料
增收	增加收入
节支	节约开支
暨大	暨南大学
射距	射击距离
旅团	旅行团
普中	普通中学
协处	协助处理
巨资	巨额资金
政院	政治学院
海洋所	海洋研究所
影本	电影剧本
内异症	子宫内膜异位症
时流	时代潮流
绍酒	绍兴酒
精仪	精密仪器
技改	技术改造
地勘	地质勘查
增幅	增长幅度
严控	严格控制
婚龄	结婚年龄
个贷	个人贷款
赛项	比赛项目
工学	工作和学习
分获	分别获得
工经	工业经济
道协	道教协会
硕导	硕士生导师
节水	节约用水
日皇	日本天皇
续贬	继续贬值
车管	车辆管理
北青报	北京青年报
长输	长途运输
班务	班级事务
人委	人民委员会
诉案	诉讼案
外经贸	对外经济贸易
乙脑	乙型脑炎
推普	推广普通话
农大	农业大学
支边	支援边疆
汽修厂	汽车修理厂
机院	机械学院
调资	调整工资
名导	著名导演
外汇局	外汇管理局
新例	新条例
土改	土地改革
佛协	佛教协会
女举	女子举重
自组	自己组建
交运	交通运输
忠勇	忠诚勇敢
滥权	滥用职权
上财	上海财经大学
国际共运	国际共产主义运动
化医	化学医学
医研	医学研究
城建	城市建设
舞美	舞台美术
全锦赛	全国锦标赛
农医	农村医疗
心防	心理防线
升幅	上升幅度
中芭	中央芭蕾舞团
考纲	考试大纲
普初	普通初中
台大	台湾大学
印厂	印刷厂
评文	评论文章
管输	管道输送
劳模	劳动模范
军力	军事力量
赛果	比赛结果
宣导	宣传引导
仓管员	仓库管理员
文保	文物保护
适销	适合销售
科技社	科学技术出版社
激辩	激烈争辩
义警	义务警察
乌市	乌鲁木齐市
国贸	国际贸易
阪神	大阪神户
脊灰	脊髓灰质炎
数理化	数学物理化学
长话	长途电话
运能	运输能力
妇检	妇科检查
民诉	民事诉讼
自民	自由民主
泳手	游泳选手
抽佣	抽取佣金
购股	购买股票
地空导弹	地对空导弹
红高	红色高棉
年均	每年平均
厦大	厦门大学
军机	军事机密
军干	军队干部
国开行	国家开发银行
设陷	设置陷阱
邮储	邮政储蓄
民品	民用品
关员	海关人员
冰啤	冰镇啤酒
触法	触犯法律
伊协	伊斯兰教协会
童军	童子军
受教	接受教育
公汽	公共汽车
发股	发行股票
中央美院	中央美术学院
长项	擅长的项目
工安	工业安全
康梁	康有为梁启超
产需	生产需求
阿语	阿拉伯语
统战	统一战线
节庆	节日庆典
粮价	粮食价格
特技	特殊技能
财长	财政部部长
工产	工业生产
内处	内部处理
顾委	顾问委员会
时限	时间限制
社改	社会改革
首体	首都体育馆
路局	铁路局
委贷	委托贷款
短贷	短期贷款
立审	立案审查
交大	交通大学
敌友	敌人和朋友
月均	每月平均
病检	病理检查
数显	数字显示
研考	研究生入学考试
高专	高等专科学校
电讯	电子通讯
包商	承包商
停售	停止销售
调焦	调整焦距
友赛	友谊赛
社保费	社会保险费
空运	航空运输
十届	第十届
港岛	香港岛
二次大战	第二次世界大战
安师大	安徽师范大学
体事	体育赛事
空爆	空中爆炸
钱江	钱塘江
公审	公开审判
交通量	交通流量
刑事技术	刑事科学技术
附小	附属小学
世青	世界青年
学具	学习用具
产供	生产供应
婚育	结婚生育
纪检委	纪律检查委员会
油市	石油市场
僚气	官僚习气
委管	委托管理
作协	作家协会
舞校	舞蹈学校
时控	时间控制
数学所	数学研究所
镇反	镇压反革命
民乐	民族音乐
排管	排水管道
职中	职业中学
博协	博物馆协会
球卡	球员卡
沈大	沈阳大学
二产	第二产业
工大	工业大学
败因	失败原因
学优	学习成绩优异
世行	世界银行
花冰	花样滑冰
成教	成人教育
联交所	香港联合交易所
违纪	违反纪律
国府	国民政府
组训	组织训练
声像	声音图像
体改	体制改革
支前	支援前线
越战	越南战争
脱险	脱离危险
莎剧	莎士比亚戏剧
计免	计划免疫
现值	现实价值
乒协	乒乓球协会
内审	内部审计
画艺	绘画艺术
首师大	首都师范大学
儿艺	儿童艺术
军检	军事检察院
内控	内部控制
东汽	东风汽车公司
智残	智力残疾
林大	林业大学
车市	汽车市场
商誉	商业信誉
大本	大学本科
高知	高级知识分子
日铁	日本铁路
南模	上海南洋模范中学
医界	医疗界
梅鹿	梅花鹿
犯行	犯法行为
专才	专业人才
善信	善男信女
上交所	上海证券交易所
火电站	火力发电站
一监	第一监狱
续降	继续下降
质监	质量监督
控温	控制温度
出访	出国访问
特困	特殊困难
医具	医疗器具
电站	发电站
港警	香港警察
经适房	经济适用房
音教	音乐教育
特区	经济特区
胆石	胆囊结石
书家	书法家
市务	市场业务
执纪	执行纪律
质保	质量保证
自营	自己经营
物理所	物理研究所
体锻	体育锻炼
游将	游泳健将
地院	地质学院
战罪	战争罪行
拒收	拒绝接收
药化	药物化学
牛丸	牛肉丸子
经管	经济管理
铁运	铁路运输
波幅	波动幅度
足校	足球学校
乐疗	音乐治疗
印尼	印度尼西亚
再障	再生障碍性贫血
民院	民族学院
放贷	发放贷款
普教	普通教育
食油	食用植物油
无照	无牌照
南师	南京师范大学
坦承	坦白承认
校办	校长办公室
展馆	展览馆
外片	外国影片
政团	政治团体
反帝	反对帝国主义
科仪	科学仪器
寸照	一寸照片
欧陆	欧洲大陆
两制	两种制度
嫌犯	嫌疑犯
生化	生物化学
矿大	矿业大学
筹资	筹集资金
经援	经济援助
规管	规划管理
彩印	彩色印刷
一附中	第一附属中学
锡盟	锡林郭勒盟
私宅	私人住宅
劳动人口	劳动年龄人口
建商	建筑商
刑案	刑事案件
职棒	职业棒球
优教	优秀教师
红会	红十字会
上博	上海博物馆
创利	创造利润
城改	城市改造
续任	继续留任
土管	土地管理
史著	历史著作
高息	高额利息
电镜	电子显微镜
环卫	环境卫生
局麻	局部麻醉
市况	市场状况
计财部	计划财务部
动源	动力源
审案	审理案件
委培	委托培养
私物	私人物品
古建	古代建筑
西南交大	西南交通大学
党史	党的历史
乡建	乡村建设
军管	军事管制
武协	武术协会
海司	海军司令部
科艺	科学和艺术
北邮	北京邮电大学
实绩	实际业绩
武运	武术运动
辽吉	辽宁吉林
联汇	联系汇率
一产	第一产业
鲜蔬	新鲜蔬菜
政研室	政策研究室
医科院	医学科学院
外宣	对外宣传
动植	动物植物
严处	严肃处理
检法	检察院和法院
高干	高级干部
劳动市场	劳动力市场
陆架	大陆架
客量	客流量
创汇	创收外汇
飞安	飞行安全
抗战	抗日战争
养教	培养教育
市经	市场经济
毛选	毛泽东选集
防保	预防保健
优分	优先分配
商银	商业银行
台胞	台湾同胞
儿麻	小儿麻痹症
民用院	民用建筑设计院
内刊	内部刊物
世贸	世界贸易
美院	美术学院
迎检	迎接检查
武备	武器装备
健检	健康检查
公游	公费旅游
屠犹	屠杀犹太人
三军医大	第三军医大学
妇保	妇女儿童保护
增产	增加产量
信保	信用保证
川妹	四川妹子
厨卫	厨房卫生
附院	附属医院
南农大	南京农业大学
巡讲	巡回演讲
市农	城市和农村
语训	语言训练
巴统	巴黎统筹委员会
校建	学校建设
治黄	治理黄河
上感	上呼吸道感染
计息	计算利息
瑞郎	瑞士法郎
涉政	涉及政治
申办	申请办理
产销	生产和销售
上海交大	上海交通大学
民警	人民警察
义教	义务教育
商贸	商业贸易
增税	增加税收
扬大	扬州大学
投运	投入运行
考规	考试规则
黄陵	黄帝陵
主控	主要控制
农经	农业经济
归侨	归国华侨
彩照	彩色照片
速测	快速检测
林院	林学院
民改	民主改革
医大	医科大学
房贴	住房补贴
乐评	音乐评论
导因	导致的原因
施压	施加压力
民舞	民族舞蹈
汽配	汽车配件
手外科	手术外科
北大	北京大学
血检	血液检测
时评	时事评论
东大	东北大学
文教	文化教育
金饰	黄金首饰
中职	中级职称
克旗	克什克腾旗
校纪	学校纪律
党纪	党的纪律
药监	药品监督
消大	消防大队
管城	管理城市
户政	户籍政策
尊师	尊敬老师
弹速	子弹速度
星战	星球大战
军援	军事援助
质控	质量控制
摩步	摩托化步兵
计生	计划生育
尿感	尿路感染
俄联邦	俄罗斯联邦
供市	供应市场
施才	施展才能
体语	身体语言
轮值	轮流值班
港大	香港大学
苏锡常	苏州无锡常州
卫校	卫生学校
立局	立法局
动检	动物检疫
知青	知识青年
副主委	副主任委员
交管部门	交通管理部门
农地	农业用地
声韵	声母韵母
深弹	深水炸弹
川大	四川大学
影带	录影带
警员	警务人员
社科	社会科学
采供	采购供应
兰铁	兰州铁路
内销	国内销售
融政	金融政治
优长	优点和长处
农运	农民运动
医工	医务工作者
艺校	艺术学校
工企	工业企业
责编	责任编辑
公厕	公共厕所
湿控	湿度控制
刑庭	刑事法庭
私财	私人财产
农金	农村金融
蔬果	蔬菜水果
普工	普通工人
苏杭	苏州和杭州
南工	南京工学院
地矿	地质矿产
摄制	拍摄制作
博导	博士生导师
余资	剩余资金
机器人所	机器人研究所
护产	保护财产
棒喝	当头棒喝
人武	人民武装
宣教	宣传教育
护校	护士学校
港商	香港商人
植物所	植物研究所
刑辩	刑事辩护
西语	西班牙语
县干	县级干部
学则	学生守则
主因	主要原因
师友	老师和朋友
化物	化学物理
书艺	书法艺术
城郊	城市郊区
电子科大	电子科技大学
台客	台湾旅客
受援	接受援助
建工	建筑工程
深大	深圳大学
耶教	耶稣教
督查	监督检查
体院	体育学院
墨城	墨西哥城
尸解	尸体解剖
经贸	经济贸易
声画	声音和画面
海院	航海学院
拉美	拉丁美洲
要角	重要角色
空压机	空气压缩机
人教社	人民教育出版社
党建	党的建设
助研	助理研究员
个唱	个人演唱会
差旅	出差旅行
教院	教育学院
化武	化学武器
领台	占领台湾
全委	全国委员会
流资	流动资金
像带	录像带
棉织	棉纺织
手拖	手扶拖拉机
朝军	朝鲜军队
车险	汽车保险
劳教	劳动教养
行署	行政公署
观赛	观看比赛
电算	电子计算
国际制	国际单位制
汤杯	汤姆斯杯
概览	大概浏览
初教	初等教育
修宪	修改宪法
经研	经济研究
优才	优秀人才
五四三	五讲四美三热爱
建外	建国门外
组工	组织工作
泳技	游泳技术
重教	重视教育
西画	西洋画
少足	少年足球
公铁	公路铁路
交行	交通银行
投产	投入生产
拒付	拒绝支付
公判	公开宣判
马列主义	马克思列宁主义
校企	学校企业
政指	政治指导员
收证	收集证据
艺大	艺术大学
批捕	批准逮捕
经合	经济合作
艺创	艺术创作
影星	电影明星
国家计委	国家计划委员会
中委	中央委员
实态	实际状态
摄协	摄影家协会
云大	云南大学
私企	私营企业
维港	维多利亚港
择恋	选择恋人
哈医大	哈尔滨医科大学
苦研	刻苦钻研
治则	治疗原则
特钢	特种钢材
帮教	帮助和教育
税制	税收制度
控区	控制区
质管	质量管理
裸镜	裸体镜头
太阳电池	太阳能电池
特需	特殊需要
农科	农业科学
营收	营业收入
官校	军官学校
商标权	商标专用权
外销	对外销售
平米	平方米
港人	香港人
电建	电力建设
体健	身体健康
武大	武汉大学
自贸区	自由贸易区
技监	技术监督
路警	铁路警察
质标	质量标准
性征	性别特征
职防	职业病防治
社党	社会民主党
哲社	哲学社会科学
金价	黄金价格
校运会	学校运动会
岗培	岗位培训
计陷	设计陷害
文印	文件打印
影业	电影业
吉大	吉林大学
陆院	陆军学院
土军	土耳其军队
杜诗	杜甫的诗
药物所	药物研究所
西北师大	西北师范大学
台企	台湾企业
农技	农业技术
去今	去年今年
持平	保持平衡
商台	商业电台
热工	热能工程
社教	社会教育
自查	自己检查
制宪	制定宪法
交投	交易投资
首图	首都图书馆
国家民委	国家民族事务委员会
话机	电话机
陆航	陆军航空兵
金市	黄金市场
师院	师范学院
三产	第三产业
航母	航空母舰
编导演	编剧导演演员
保单	保险单
人卫	人民卫生
森警	森林警察
提价	提高价格
自评	自己评价
投建	投资建设
皮肌	皮肤肌
中院	中级人民法院
上戏	上海戏剧学院
外军	外国军队
杭大	杭州大学
参访	参观访问
涉台	涉及台湾
行管	行政管理
群工	群众工作
美校	美术学校
空港	航空港
衣裤	衣服裤子
股值	股票价值
植保	植物保护
储运	储存运输
公卫	公共卫生
外院	外国语学院
二医大	上海第二医科大学
人普	人口普查
个税	个人所得税
职校	职业学校
严管	严格管理
医技	医疗技术
息率	利息率
电控	电气控制
军贸	军火贸易
上音	上海音乐学院
艺展	艺术展览
耗能	消耗能量
医助	医生助理
国补	国家补贴
高能所	高能物理研究所
南艺	南京艺术学院
政改	政治体制改革
台生	台湾学生
济铁	济南铁路局
女监	女子监狱
体彩	体育彩票
沙俄	沙皇俄国
裂伤	撕裂伤
管委	管理委员会
显外	显微外科
科社	科学社会主义
国罗	国语罗马字
音校	音乐学校
国控	国家控制
花市	花卉市场
抬价	抬高价格
企银	企业银行
商贷	商业贷款
跌势	下跌趋势
驾机	驾驶飞机
应化	应用化学
柠茶	柠檬茶
怒讨	愤怒声讨
法援	法律援助
参会	参加会议
外籍	外国国籍
制程	制造过程
领馆	领事馆
局地	局部地区
村委	村民委员会
学运	学生运动
海科	海洋科学
港府	香港政府
人医	人民医院
运管	运输管理
音协	音乐家协会
上铁	上海铁路局
泳协	游泳协会
党工	党务工作
西工大	西北工业大学
禁产	禁止生产
燕大	燕京大学
岸炮	海岸炮
思政	思想政治
安医大	安徽医科大学
师大	师范大学
日银	日本银行
受托	接受委托
密报	秘密报告
期市	期货市场
职数	职位数量
陕甘	陕西甘肃
混双	男女混合双打
影赛	摄影比赛
邓选	邓小平文选
外空	外层空间
职评	职称评定
社群	社会群体
阿盟	阿拉伯国家联盟
现况	现实情况
证交所	证券交易所
虫草	冬虫夏草
艺文	艺术文化
港姐	香港小姐
普理	普通理科
行止	行为举止
丝路	丝绸之路
商服	商业服务业
经建	经济建设
尊老	尊重老人
航院	航空学院
特委	特别委员会
生物所	生物研究所
南大	南京大学
泌乳	分泌乳汁
警署	警察署
中戏	中央戏剧学院
省医	省立医院
炮团	炮兵团
战史	作战史
调温	调节温度
古史	古代历史
党章	党的章程
市售	市场销售
拳赛	拳击比赛
演星	演员明星
汉译	汉语翻译
文娱	文化娱乐
恶黑	恶性黑色素瘤
增速	增长速度
关检	海关检查
科管	科学管理
脑体	脑力劳动和体力劳动
调价	调整价格
基材	基本材料
商经	商业经济
呼市	呼和浩特市
支农	支援农业
彩影	彩色摄影
批价	批发价格
文改	文字改革
助编	助理编辑
汇演	汇报演出
个体户	个体工商户
劳改	劳动改造
参训	参加训练
学工部	学生工作部
军基	军事基地
亚青	亚洲青年
