印尼	印度尼西亚
嫌犯	嫌疑犯
现况	现实情况
北大	北京大学
复健	恢复健康
工时	工作时间
主因	主要原因
军力	军事力量
越战	越南战争
社群	社会群体
港府	香港政府
港人	香港人
欧陆	欧洲大陆
生化	生物化学
专才	专业人才
高干	高级干部
公厕	公共厕所
时限	时间限制
学运	学生运动
星战	星球大战
吉大	吉林大学
社科	社会科学
内销	国内销售
抗战	抗日战争
金价	黄金价格
西语	西班牙语
哥大	哥伦比亚大学
阿语	阿拉伯语
武大	武汉大学
严控	严格控制
深大	深圳大学
定存	定期存款
增速	增长速度
台大	台湾大学
外军	外国军队
中戏	中央戏剧学院
车市	汽车市场
国贸	国际贸易
港大	香港大学
展馆	展览馆
军报	解放军报
文教	文化教育
暨大	暨南大学
三产	第三产业
职校	职业学校
高工	高级工程师
土改	土地改革
内控	内部控制
台胞	台湾同胞
参会	参加会议
体院	体育学院
辽大	辽宁大学
建工	建筑工程
交行	交通银行
计生	计划生育
浙大	浙江大学
内审	内部审计
农大	农业大学
大本	大学本科
经院	经济学院
知青	知识青年
世行	世界银行
婚龄	结婚年龄
旅团	旅行团
中央美院	中央美术学院
质保	质量保证
艺校	艺术学校
成教	成人教育
附院	附属医院
林大	林业大学
普工	普通工人
南师	南京师范大学
川大	四川大学
心梗	心肌梗塞
云大	云南大学
古史	古代历史
商贷	商业贷款
