筹资	筹集资金
股价	股票价格
职棒	职业棒球
众院	众议院
军机	军事机密
空运	航空运输
公关	公共关系
和谈	和平谈判
印尼	印度尼西亚
重审	重新审查
世贸	世界贸易
嫌犯	嫌疑犯
研发	研究开发
成飞	成都飞机
协寻	协助寻找
跌势	下跌趋势
央行	中央银行
男网	男子网球
男单	男子单打
现况	现实情况
脱险	脱离危险
营收	营业收入
证交所	证券交易所
中东和谈	中东和平谈判
参院	参议院
摘金	摘取金牌
金饰	黄金首饰
专责	专门负责
环保	环境保护
东协	东南亚国家协会
外贸部	对外贸易部
禁用	禁止使用
工业所	工业经济研究所
警署	警察署
税制	税收制度
外销	对外销售
财长	财政部部长
和约	和平条约
医界	医疗界
商誉	商业信誉
影业	电影业
北大	北京大学
公投	公民投票
复健	恢复健康
商标权	商标专用权
工时	工作时间
劳动人口	劳动年龄人口
劳动市场	劳动力市场
无照	无牌照
首演	首场演出
主因	主要原因
外经贸	对外经济贸易
断交	断绝外交关系
经援	经济援助
女单	女子单打
军力	军事力量
油国	石油出口国
二次大战	第二次世界大战
购股	购买股票
停售	停止销售
农地	农业用地
修宪	修改宪法
主控	主要控制
自民	自由民主
国税局	国家税务局
建材	建筑材料
驾照	驾驶执照
搜证	搜集证据
停播	停止播放
越战	越南战争
日用品	日常生活用品
市况	市场状况
足协	足球协会
日皇	日本天皇
社群	社会群体
港府	香港政府
国际民航组织	国际民用航空组织
交通量	交通流量
莫大	莫斯科大学
拳赛	拳击比赛
参访	参观访问
政争	政治斗争
审案	审理案件
欧陆	欧洲大陆
生化	生物化学
专才	专业人才
劳教	劳动教养
共治	共同治理
产销	生产和销售
马岛	马尔维纳斯群岛
世卫组织	世界卫生组织
财金	财政金融
中总	香港中华总商会
新航	新加坡航空公司
飞安	飞行安全
从商	从事商业
举发	检举揭发
时事社	时事通讯社
增幅	增长幅度
分获	分别获得
精研	精心研究
拉美	拉丁美洲
文摘	文章摘要
反战	反对战争
网协	网球协会
基民党	基督教民主党
共管	共同管理
海缆	海底电缆
高院	高级人民法院
高铁	高速铁路
政团	政治团体
触法	触犯法律
英航	英国航空公司
高干	高级干部
人口所	人口研究所
尿检	尿样检查
植物所	植物研究所
劳改	劳动改造
续任	继续留任
经管	经济管理
心防	心理防线
宣导	宣传引导
时限	时间限制
增收	增加收入
驾机	驾驶飞机
时空	时间和空间
国企	国有企业
公厕	公共厕所
正选	正式选举
坚拒	坚持拒绝
美航	泛美航空公司
共荣	共同繁荣
马列主义	马克思列宁主义
现值	现实价值
实效	实际效果
强震	强烈地震
受托	接受委托
日银	日本银行
人口老化	人口老龄化
女双	女子双打
学运	学生运动
男双	男子双打
文艺界	文学艺术界
艺文	艺术文化
巨资	巨额资金
党工	党务工作
安检	安全检查
增税	增加税收
激辩	激烈争辩
建商	建筑商
拒付	拒绝支付
副主委	副主任委员
月入	每月收入
陶艺	陶瓷艺术
女校	女子学校
吉大	吉林大学
社科	社会科学
外事	外交事务
港股	香港股市
统战	统一战线
音效	音响效果
空战	空中作战
环保部	环境保护部
公审	公开审判
时评	时事评论
附中	附属中学
女足	女子足球
军援	军事援助
运毒	运送毒品
阿盟	阿拉伯国家联盟
军控	军备控制
外需	外部需求
花市	花卉市场
抗战	抗日战争
巴解组织	巴勒斯坦解放组织
人武	人民武装
复交	恢复外交关系
南大	南京大学
西语	西班牙语
科研	科学研究
研考	研究生入学考试
小巴	小型巴士
军情	军事情报
马约	马斯特里赫特条约
联航	联合航空公司
伊通社	伊拉克通讯社
股值	股票价值
个体户	个体工商户
长话	长途电话
地价	土地价格
医技	医疗技术
防台	防御台风
武大	武汉大学
联委会	联合委员会
严控	严格控制
减让	减税让利
党纪	党的纪律
考纪	考试纪律
日航	日本航空公司
特训	特别训练
宣教	宣传教育
联共	联合共产党
定存	定期存款
上航	上海航空公司
世锦赛	世界锦标赛
台湾两岸	台湾海峡两岸
公判	公开宣判
长影	长春电影制片厂
粮价	粮食价格
食油	食用植物油
家教	家庭教育
拒收	拒绝接收
政改	政治体制改革
童装	儿童服装
月均	每月平均
环卫	环境卫生
外军	外国军队
参演	参加演出
体协	体育协会
城郊	城市郊区
上工	上海工业
新地	新鸿基地产
女超	女子超级
军训	军事训练
军管	军事管制
统管	统一管理
红高	红色高棉
水运	水路运输
农科	农业科学
农资	农业生产资料
妇女会	妇女协会
开行	开发银行
电联	国际电信联盟
节水	节约用水
财委会	财政委员会
土军	土耳其军队
留美	留学美国
公屋	公共房屋
增编	增加编制
港澳办	港澳事务办公室
开发署	联合国开发计划署
童军	童子军
厂商会	香港中华厂商联合会
外汇局	外汇管理局
监委	监察委员会
高知	高级知识分子
基建	基本建设
中直	中央直属机关
无人机	无人驾驶飞机
前指	前线指挥部
民族宫	北京民族文化宫
女中	女子中学
水保	水土保持
商交所	商品交易所
国贸	国际贸易
棉织	棉纺织
电业	电力工业
亚锦赛	亚洲锦标赛
港姐	香港小姐
私宅	私人住宅
组训	组织训练
世青赛	世界青年锦标赛
农经	农业经济
女垒	女子垒球
展馆	展览馆
警校	警察学校
共建	共同建设
外空	外层空间
经团联	日本经济团体联合会
一秘	一等秘书
二秘	二等秘书
育乐	体育娱乐
村委	村民委员会
农技	农业技术
上京	上海京剧院
督查	监督检查
增速	增长速度
波幅	波动幅度
金管局	香港金融管理局
航母	航空母舰
高检	最高人民检察院
文教	文化教育
职总	职工总会
一战后	第一次世界大战后
地学	地球科学
财年	财政年度
朝中社	朝鲜中央通讯社
城建	城市建设
调研	调查研究
东航	东方航空公司
药监	药品监督
中纪委	中央纪律检查委员会
参训	参加训练
社保	社会养老保险
邮储	邮政储蓄
职校	职业学校
中控	中央控制
公德	公共道德
土改	土地改革
地埋	地下埋藏
户政	户籍政策
内控	内部控制
运能	运输能力
超模	超级模特
体校	体育学校
战训	战备训练
高息	高额利息
抬价	抬高价格
安盟	争取安哥拉彻底独立全国联盟
规管	规划管理
技校	技工学校
飞行队	飞行服务队
大众传媒	大众传播媒介
陆航	陆军航空兵
电大	广播电视大学
上海交大	上海交通大学
俄联邦	俄罗斯联邦
体工	体育工作
国际羽联	国际羽毛球联合会
台胞	台湾同胞
自贸区	自由贸易区
师专	师范专科学校
钱江	钱塘江
参会	参加会议
能耗	能源消耗
非公经济	非公有经济
标煤	标准煤
技改	技术改造
北师大	北京师范大学
体院	体育学院
民乐	民族音乐
博导	博士生导师
运管	运输管理
委办	委员会办公室
统招	统一招生
特需	特殊需要
交管部门	交通管理部门
管委	管理委员会
治污	治理污染
工体	北京工人体育场
建工	建筑工程
私企	私营企业
交行	交通银行
田管	田间管理
纪检委	纪律检查委员会
法学所	法学研究所
公交	公共交通
国家民委	国家民族事务委员会
经委	经济委员会
温控	温度控制
亚冬会	亚洲冬季运动会
全国青联	中华全国青年联合会
台大	台湾大学
计生	计划生育
城管	城市管理
巡展	巡回展出
