正选	正式选举
马约	马斯特里赫特条约
中心馆	中心图书馆
跳雪	跳台滑雪
北师大	北京师范大学
行政庭	行政审判庭
复健	恢复健康
工业所	工业经济研究所
建照	建筑执照
禁用	禁止使用
男板	男子跳板跳水
粮菜	粮食和蔬菜
职灾	职业灾害
军情	军事情报
陶艺	陶瓷艺术
调研	调查研究
经济庭	经济审判庭
建材	建筑材料
增收	增加收入
沈铁	沈阳铁路局
节支	节约开支
组派	组织派遣
中直	中央直属机关
扶残	扶助残疾人
美协	美术家协会
控申	控告申诉
旅团	旅行团
兵总	兵器工业总公司
植检	植物检疫
边城	边境城市
免诉	免予起诉
协处	协助处理
巨资	巨额资金
中央工艺美院	中央工艺美术学院
违诺	违反承诺
政院	政治学院
海洋所	海洋研究所
影本	电影剧本
拉美经委会	拉丁美洲和加勒比经济委员会
家教会	家庭教育研究会
普训	普及培训
企管部	企业管理部
人教司	人事教育司
创演	创作和演出
劣品	劣质商品
围殴	围攻殴打
前指	前线指挥部
边检站	边防检查站
技改	技术改造
留美	留学美国
地勘	地质勘查
增幅	增长幅度
律考	律师考试
自动线	自动生产线
司训	司机训练
静点	静脉点滴
男单	男子单打
严控	严格控制
引智	引进国外智力
有机所	有机化学研究所
婚龄	结婚年龄
港股	香港股市
国际柔联	国际柔道联合会
个贷	个人贷款
教科院	教育科学研究院
标样	标准样品
分获	分别获得
世俱赛	世界俱乐部赛
厂商会	香港中华厂商联合会
硕导	硕士生导师
初小	初级小学
节水	节约用水
名址	姓名和地址
参拍	参加拍摄
日皇	日本天皇
车管	车辆管理
一纵	第一纵队
职总	职工总会
工美	工艺美术品
农办	农业办公室
普高	普通高级中学
长输	长途运输
铁四院	铁道部第四勘测设计院
市容委	市容管理委员会
国家防总	国家防汛抗旱总指挥部
世俱杯	世界俱乐部杯
军转工作	军队转业干部安置工作
晤商	会晤协商
广涉	广泛涉及
外经贸	对外经济贸易
光机所	光学精密机械研究所
奥校	奥林匹克学校
刑侦	刑事侦查
乙脑	乙型脑炎
换俘	交换俘虏
轻卡	轻型卡车
工业废物	工业固体废物
农大	农业大学
公汽公司	公共汽车公司
贪案	贪污案件
青工部	青年工作部
深房	深圳住房
体疗	体育医疗
支边	支援边疆
汽修厂	汽车修理厂
残工委	残疾人工作委员会
普九	普及九年制义务教育
妇委会	妇女委员会
应化所	应用化学研究所
