协寻	协助寻找
现况	现实情况
营收	营业收入
商标权	商标专用权
无照	无牌照
越战	越南战争
港府	香港政府
莫大	莫斯科大学
生化	生物化学
尿检	尿样检查
劳改	劳动改造
时限	时间限制
时空	时间和空间
现值	现实价值
受托	接受委托
日银	日本银行
党工	党务工作
吉大	吉林大学
人武	人民武装
个体户	个体工商户
严控	严格控制
党纪	党的纪律
台湾两岸	台湾海峡两岸
食油	食用植物油
台大	台湾大学
月均	每月平均
体协	体育协会
水运	水路运输
农科	农业科学
民族宫	北京民族文化宫
女中	女子中学
棉织	棉纺织
组训	组织训练
二秘	二等秘书
金管局	香港金融管理局
高检	最高人民检察院
调研	调查研究
战训	战备训练
规管	规划管理
上海交大	上海交通大学
体工	体育工作
北师大	北京师范大学
特需	特殊需要
工体	北京工人体育场
建工	建筑工程
温控	温度控制
乙脑	乙型脑炎
上交所	上海证券交易所
住房改革	住房制度改革
经院	经济学院
排管	排水管道
农房	农民住房
社教	社会教育
特批	特别批准
血检	血液检测
社保费	社会保险费
治保	治安保卫
参试	参加试验
刑事技术	刑事科学技术
女花	女子花剑
男曲	男子曲棍球
体彩	体育彩票
纠风	纠正行业不正之风
公铁	公路铁路
普九	普及九年制义务教育
国统区	国民党统治区
国际网联	国际网球联合会
普工	普通工人
安莎社	安莎通讯社
南师	南京师范大学
五一节	五一国际劳动节
议联	议员联盟
政校	政治学校
高师	高等师范
心梗	心肌梗塞
教卫	教育和卫生
轻卡	轻型卡车
重教	重视教育
青工	青年工人
初教	初等教育
武协	武术协会
国际举联	国际举重联合会
亚乒	亚洲乒乓球
公用局	公用事业局
南共体	南部非洲发展共同体
