证交税	证券交易税
世经所	世界经济研究所
执纪	执行纪律
亚乒	亚洲乒乓球
陆架	大陆架
舞星	舞蹈明星
六运会	第六届全国运动会
太钢	太原钢铁公司
营收	营业收入
市容委	市容管理委员会
强迁	强制迁移
煤化所	煤炭化学研究所
储贷	储蓄和贷款
空压机	空气压缩机
陆航	陆军航空兵
安保部	安全保卫部
瓦检员	瓦斯检测员
三产	第三产业
深房	深圳住房
纺企	纺织企业
首体	首都体育馆
亚俱杯	亚洲俱乐部杯
体疗	体育医疗
污控司	污染控制司
采供	采购供应
泳手	游泳选手
参访	参观访问
步炮	步兵和炮兵
国际箭联	国际射箭联合会
厂校	工厂和学校
西安体院	西安体育学院
甲减	甲状腺功能减退
拒收	拒绝接收
福铁	福州铁路
增招	增加招生
市办	市委办公室
迎检	迎接检查
政研室	政策研究室
财委会	财政委员会
亚举联	亚洲举重联合会
经联会	经济联合会
北平艺专	北平艺术专科学校
社科司	社会科学司
社署	香港社会福利署
二秘	二等秘书
津城	天津城
支铁	支援铁路建设
邮运	邮政运输
擅设	擅自设置
丝路	丝绸之路
劳卫	劳动卫生
专责	专门负责
平叛	平息叛乱
续演	继续演出
刑案	刑事案件
民诉	民事诉讼
国际航联	国际航空运动联合会
65中	第65中学
扩红	扩大红军
光机所	光学精密机械研究所
飞行队	飞行服务队
建外	建国门外
交委	交通委员会
狱务	监狱事务
无核国	无核武器国家
治则	治疗原则
墨通社	墨西哥通讯社
密报	秘密报告
上航	上海航空公司
诉案	诉讼案
参拍	参加拍摄
现势	现实形势
体改司	体制改革司
女柔	女子柔道
军转干	军队转业干部
实控线	实际控制线
欧币	欧洲国家货币
林型	森林类型
涉政	涉及政治
军检	军事检察院
购股	购买股票
欧陆	欧洲大陆
订颁	制订并颁布
附小	附属小学
保共	保加利亚共产党
上芭	上海芭蕾舞团
苏绣	苏州刺绣
减亏	减少亏损
教参	教学参考资料
投建	投资建设
日航	日本航空公司
亚冬会	亚洲冬季运动会
二产	第二产业
乒协	乒乓球协会
国税局	国家税务局
上博	上海博物馆
经院	经济学院
汤杯赛	汤姆斯杯赛
储种	储蓄种类
联柬机构	联合国驻柬埔寨临时权力机构
