short_form,short_count,long_form,long_count,short_long_ratio
23中,124,第23中学,16,7.75
65中,73,第65中学,18,4.055555555555555
一产,3005,第一产业,2041,1.4723174914257715
一冶,52,第一冶炼厂,11,4.7272727272727275
一幼,240,第一幼儿园,124,1.935483870967742
一秘,847,一等秘书,348,2.4339080459770117
一纵,291,第一纵队,82,3.548780487804878
七建,45,第七建筑公司,11,4.090909090909091
七纵,35,第七纵队,15,2.3333333333333335
三产,4761,第三产业,15326,0.3106485710557223
三棉,27,第三棉纺织厂,14,1.9285714285714288
上京,642,上海京剧院,432,1.4861111111111112
上博,750,上海博物馆,1223,0.6132461161079313
上图,2414,上海图书馆,786,3.0712468193384224
上工,11726,上海工业,1749,6.70440251572327
上感,1616,上呼吸道感染,533,3.0318949343339585
上戏,393,上海戏剧学院,450,0.8733333333333333
上昆,169,上海昆剧团,202,0.8366336633663366
上柴,113,上海柴油机厂,15,7.533333333333333
上港,699,上海港务局,87,8.03448275862069
上航,5560,上海航空公司,670,8.298507462686567
上芭,308,上海芭蕾舞团,157,1.961783439490446
上视,643,上海电视台,526,1.2224334600760456
上财,1206,上海财经大学,911,1.323819978046103
上铁,700,上海铁路局,1671,0.4189108318372232
上音,648,上海音乐学院,557,1.163375224416517
下权,125,下放权力,241,0.5186721991701245
专储,308,专项储备,184,1.673913043478261
专干,265,专职干部,189,1.402116402116402
专才,1540,专业人才,6322,0.24359379943055995
专控,126,专项控制,35,3.6
专校,118,专科学校,872,0.1353211009174312
专署,174,专员公署,1209,0.14392059553349876
专责,2658,专门负责,3501,0.7592116538131962
世协,65,世界语协会,101,0.6435643564356436
世局,87,世界局势,764,0.11387434554973822
世行,9614,世界银行,25002,0.3845292376609871
世贸,35048,世界贸易,22554,1.553959386361621
业校,180,业余学校,140,1.2857142857142858
东协,3138,东南亚国家协会,808,3.883663366336634
东汽,1814,东风汽车公司,922,1.967462039045553
东航,13203,东方航空公司,1472,8.969429347826088
丝路,1901,丝绸之路,9663,0.1967297940598158
严处,1333,严肃处理,9232,0.1443890814558059
严控,3616,严格控制,12044,0.30023248090335436
严斥,46,严厉斥责,90,0.5111111111111111
严管,1962,严格管理,3740,0.5245989304812835
严罚,114,严肃处罚,97,1.175257731958763
个唱,476,个人演唱会,319,1.4921630094043887
个税,8868,个人所得税,13263,0.6686270074643745
个贷,2005,个人贷款,1706,1.1752637749120751
中大,31647,中山大学,5872,5.3894754768392374
中委,2311,中央委员,10480,0.22051526717557252
中总,4496,香港中华总商会,1340,3.355223880597015
中戏,456,中央戏剧学院,488,0.9344262295081968
中控,1551,中央控制,376,4.125
中直,6252,中央直属机关,906,6.900662251655629
中芭,339,中央芭蕾舞团,597,0.5678391959798995
中野,774,中原野战军,87,8.89655172413793
中院,8046,中级人民法院,14712,0.5469004893964111
临客,3450,临时旅客列车,396,8.712121212121213
临屋,16,临时房屋,73,0.2191780821917808
临建,335,临时建筑,402,0.8333333333333334
临快,46,临时快车,19,2.4210526315789473
临管,115,临时管理,916,0.12554585152838427
主因,5726,主要原因,43627,0.131248997180645
主控,1303,主要控制,260,5.0115384615384615
主秘,306,主任秘书,338,0.9053254437869822
主险,282,主要保险,82,3.4390243902439024
举协,207,举重协会,576,0.359375
举发,641,检举揭发,612,1.0473856209150327
举联,193,举重联合会,43,4.488372093023256
义教,9551,义务教育,30567,0.3124611509143848
义消,164,义务消防队,132,1.2424242424242424
乌市,3824,乌鲁木齐市,8483,0.45078392078274193
乐疗,104,音乐治疗,108,0.9629629629629628
乐评,233,音乐评论,91,2.56043956043956
乒协,2028,乒乓球协会,724,2.8011049723756907
乒总,242,乒乓球总会,109,2.220183486238532
乒联,174,乒乓球联合会,34,5.117647058823529
