10中	3846	第10中学	6	641.0
13中	244	第13中学	6	40.666666666666664
1中	2706	第11中学	16	169.125
21中	136	第21中学	3	45.333333333333336
23中	124	第23中学	16	7.75
24中	131	第24中学	8	16.375
25中	108	第25中学	8	13.5
2中	2347	第22中学	8	293.375
31中	79	第31中学	6	13.166666666666666
43中	132	第43中学	5	26.4
49中	73	第49中学	3	24.333333333333332
51中	39	第51中学	3	13.0
65中	73	第65中学	18	4.055555555555555
67中	51	第67中学	1	51.0
8中	3579	第88中学	1	3579.0
B股	6638	B种股票	142	46.74647887323944
B超	2046	B型超声诊断	5	409.2
一中	19996	第一中学	1084	18.44649446494465
一产	3005	第一产业	2041	1.4723174914257717
一冶	52	第一冶炼厂	11	4.7272727272727275
一医	3699	第一医学院	38	97.34210526315789
一大	129620	第一次全国代表大会	263	492.851711026616
一小	26321	第一小学	534	49.29026217228464
一师	1259	第一师范学校	88	14.306818181818182
一幼	240	第一幼儿园	124	1.935483870967742
一建	5715	第一建筑工程公司	41	139.390243902439
一拖	2079	洛阳第一拖拉机厂	21	99.0
一毛	1937	第一毛纺织厂	24	80.70833333333333
一监	1498	第一监狱	132	11.348484848484848
一秘	847	一等秘书	348	2.4339080459770117
一纵	291	第一纵队	82	3.548780487804878
七冶	22	第七冶金建设公司	2	11.0
七建	45	第七建筑公司	11	4.090909090909091
七棉	14	第七棉纺织	2	7.0
七纵	35	第七纵队	15	2.3333333333333335
三产	4761	第三产业	15326	0.3106485710557223
三教	784	第三教室	2	392.0
三棉	27	第三棉纺织厂	14	1.9285714285714286
三百	36097	第三百货	5	7219.4
上京	642	上海京剧院	432	1.4861111111111112
上博	750	上海博物馆	1223	0.6132461161079313
上图	2414	上海图书馆	786	3.0712468193384224
上外	2114	上海外国语学院	58	36.44827586206897
上大	27412	上海大学	1654	16.573155985489723
上展	6608	上海展览中心	359	18.4066852367688
上工	11726	上海工业	1749	6.70440251572327
上广	3783	上海人民广播电台	109	34.706422018348626
上影	3908	上海电影制片厂	192	20.354166666666668
上总	3351	上海市总工会	318	10.537735849056604
上感	1616	上呼吸道感染	533	3.0318949343339585
上戏	393	上海戏剧学院	450	0.8733333333333333
上昆	169	上海昆剧团	202	0.8366336633663366
上柴	113	上海柴油机厂	15	7.533333333333333
上消	4212	上海消防	125	33.696
上港	699	上海港务局	87	8.03448275862069
上滑	961	上海滑稽剧团	27	35.592592592592595
上球	1379	上海制球联合公司	6	229.83333333333334
上航	5560	上海航空公司	670	8.298507462686567
上艺	337	上海艺术剧场	2	168.5
上芭	308	上海芭蕾舞团	157	1.9617834394904459
上视	643	上海电视台	526	1.2224334600760456
上财	1206	上海财经大学	911	1.323819978046103
上钢	716	上海钢铁公司	1	716.0
上铁	700	上海铁路局	1671	0.4189108318372232
上音	648	上海音乐学院	557	1.163375224416517
上飞	4724	上海飞机制造厂	178	26.53932584269663
下探	3644	向下探底	30	121.46666666666667
下权	125	下放权力	241	0.5186721991701245
专储	308	专项储备	184	1.673913043478261
专办	168	专案办公室	7	24.0
专干	265	专职干部	189	1.402116402116402
专志	21	专心致志	818	0.02567237163814181
专才	1540	专业人才	6322	0.24359379943055995
专控	126	专项控制	35	3.6
专校	118	专科学校	872	0.1353211009174312
专署	174	专员公署	1209	0.14392059553349876
专责	2658	专门负责	3501	0.7592116538131962
世协	65	世界语协会	101	0.6435643564356436
世局	87	世界局势	764	0.11387434554973822
世行	9614	世界银行	25002	0.3845292376609871
世贸	35048	世界贸易	22554	1.553959386361621
世青	99	世界青年	3991	0.024805813079428713
业内	82946	行业内部	707	117.32107496463932
业大	25184	业余大学	74	340.3243243243243
业权	3086	物业所有权	8	385.75
业校	180	业余学校	140	1.2857142857142858
业界	44927	产业界	2490	18.042971887550202
业考	3319	业务考核	157	21.14012738853503
东协	3138	东南亚国家协会	808	3.883663366336634
东大	20950	东北大学	1446	14.488243430152144
东工	1704	东北工学院	106	16.07547169811321
