short_form,short_count,long_form,long_count,short_long_ratio
10中,3846,第10中学,6,641
13中,244,第13中学,6,40.666666666666664
1中,2706,第11中学,16,169.125
21中,136,第21中学,3,45.333333333333336
24中,131,第24中学,8,16.375
25中,108,第25中学,8,13.5
2中,2347,第22中学,8,293.375
31中,79,第31中学,6,13.166666666666666
43中,132,第43中学,5,26.4
49中,73,第49中学,3,24.333333333333332
51中,39,第51中学,3,13
67中,51,第67中学,1,51
8中,3579,第88中学,1,3579
B股,6638,B种股票,142,46.74647887323944
B超,2046,B型超声诊断,5,409.2
一中,19996,第一中学,1084,18.44649446494465
一医,3699,第一医学院,38,97.34210526315788
一大,129620,第一次全国代表大会,263,492.851711026616
一小,26321,第一小学,534,49.29026217228464
一师,1259,第一师范学校,88,14.306818181818182
一建,5715,第一建筑工程公司,41,139.390243902439
一拖,2079,洛阳第一拖拉机厂,21,99
一毛,1937,第一毛纺织厂,24,80.70833333333333
一监,1498,第一监狱,132,11.348484848484848
七冶,22,第七冶金建设公司,2,11
七棉,14,第七棉纺织,2,7
三教,784,第三教室,2,392
三百,36097,第三百货,5,7219.4
上外,2114,上海外国语学院,58,36.44827586206897
上大,27412,上海大学,1654,16.573155985489723
上展,6608,上海展览中心,359,18.4066852367688
上广,3783,上海人民广播电台,109,34.706422018348626
上影,3908,上海电影制片厂,192,20.354166666666668
上总,3351,上海市总工会,318,10.537735849056604
上消,4212,上海消防,125,33.696
上滑,961,上海滑稽剧团,27,35.592592592592595
上球,1379,上海制球联合公司,6,229.83333333333337
上艺,337,上海艺术剧场,2,168.5
上钢,716,上海钢铁公司,1,716
上飞,4724,上海飞机制造厂,178,26.53932584269663
下探,3644,向下探底,30,121.46666666666668
专办,168,专案办公室,7,24
专志,21,专心致志,818,0.02567237163814181
世青,99,世界青年,3991,0.02480581307942871
业内,82946,行业内部,707,117.32107496463932
业大,25184,业余大学,74,340.3243243243243
业权,3086,物业所有权,8,385.75
业界,44927,产业界,2490,18.0429718875502
业考,3319,业务考核,157,21.14012738853503
东大,20950,东北大学,1446,14.488243430152144
东工,1704,东北工学院,106,16.07547169811321
东廊,18,香港东区走廊,4,4.5
东影,265,东北电影制片厂,18,14.72222222222222
东盟,99607,东南亚国家联盟,990,100.61313131313132
两制,24596,两种制度,455,54.05714285714286
严治,5622,严格治理,47,119.61702127659576
个协,4595,个体协会,77,59.675324675324674
中专,7771,中等专业学校,592,13.12668918918919
中博,3053,中央博物院,64,47.703125
中国,5108564,中华人民共和国,73184,69.80438347179711
中客,7302,中型客车,544,13.422794117647058
中工,3831,台湾中华工程公司,3,1277
中巴,17241,中型巴士,48,359.1875
中师,1921,中等师范学院,1,1921
中广,11028,台湾中国广播公司,6,1838
中招,3098,高级中等学校招生,25,123.92
中漆,9,中华制漆有限公司,4,2.25
中点,1187,中式点心,32,37.09375
