正选	正式选举
粮播	粮食播种
马约	马斯特里赫特条约
消联	消费者联合会
中心馆	中心图书馆
跳雪	跳台滑雪
北师大	北京师范大学
行政庭	行政审判庭
复健	恢复健康
工业所	工业经济研究所
建照	建筑执照
经联会	经济联合会
价改	价格改革
禁用	禁止使用
男板	男子跳板跳水
铁总	铁路总工会
横联	横向联合
粮菜	粮食和蔬菜
影馆	电影馆
职灾	职业灾害
军情	军事情报
陶艺	陶瓷艺术
调研	调查研究
经济庭	经济审判庭
建材	建筑材料
增收	增加收入
北平艺专	北平艺术专科学校
沈铁	沈阳铁路局
节支	节约开支
暨大	暨南大学
组派	组织派遣
中直	中央直属机关
射距	射击距离
扶残	扶助残疾人
美协	美术家协会
控申	控告申诉
旅团	旅行团
普中	普通中学
兵总	兵器工业总公司
植检	植物检疫
边城	边境城市
免诉	免予起诉
协处	协助处理
巨资	巨额资金
中央工艺美院	中央工艺美术学院
违诺	违反承诺
政院	政治学院
海洋所	海洋研究所
影本	电影剧本
时流	时代潮流
拉美经委会	拉丁美洲和加勒比经济委员会
化奥	化学奥林匹克竞赛
劳保所	劳动保护科学研究所
植化	植物化学
家教会	家庭教育研究会
普训	普及培训
工总	工业总会
企管部	企业管理部
绍酒	绍兴酒
人教司	人事教育司
计办	计划办公室
长汽	长春第一汽车制造厂
创演	创作和演出
劣品	劣质商品
防总办	防汛总指挥部办公室
围殴	围攻殴打
前指	前线指挥部
边检站	边防检查站
建署	香港建筑署
技改	技术改造
留美	留学美国
地勘	地质勘查
邮工	邮政工会
钓协	钓鱼协会
艺协	艺术家协会
增幅	增长幅度
律考	律师考试
自动线	自动生产线
司训	司机训练
静点	静脉点滴
男单	男子单打
严控	严格控制
引智	引进国外智力
有机所	有机化学研究所
婚龄	结婚年龄
港股	香港股市
国际柔联	国际柔道联合会
个贷	个人贷款
教科院	教育科学研究院
赛项	比赛项目
标样	标准样品
实小	实验小学
分获	分别获得
世俱赛	世界俱乐部赛
工经	工业经济
道协	道教协会
厂商会	香港中华厂商联合会
棉办	棉花办公室
硕导	硕士生导师
初小	初级小学
保队	保加利亚队
节水	节约用水
名址	姓名和地址
参拍	参加拍摄
日皇	日本天皇
续贬	继续贬值
车管	车辆管理
一纵	第一纵队
陆积	陆地面积
长话线	长途电话线
自研	自行研制
职总	职工总会
工美	工艺美术品
农办	农业办公室
普高	普通高级中学
劳防	劳动防护
长输	长途运输
铁四院	铁道部第四勘测设计院
市容委	市容管理委员会
国家防总	国家防汛抗旱总指挥部
料耗	材料消耗
玉烟	云南玉溪卷烟厂
剧评	戏剧评论
审期	审理期限
人委	人民委员会
世俱杯	世界俱乐部杯
军转工作	军队转业干部安置工作
晤商	会晤协商
诉案	诉讼案
广涉	广泛涉及
外经贸	对外经济贸易
学代会	学生代表大会
光机所	光学精密机械研究所
奥校	奥林匹克学校
刑侦	刑事侦查
乙脑	乙型脑炎
换俘	交换俘虏
长发公司	长江经济联合发展股份有限公司
推普	推广普通话
轻卡	轻型卡车
还贷	偿还贷款
工业废物	工业固体废物
农大	农业大学
公汽公司	公共汽车公司
贪案	贪污案件
武委	武术委员会
青工部	青年工作部
深房	深圳住房
北昆	北方昆曲
拳总	拳击总会
体疗	体育医疗
支边	支援边疆
汽修厂	汽车修理厂
残工委	残疾人工作委员会
普九	普及九年制义务教育
妇委会	妇女委员会
应化所	应用化学研究所
机院	机械学院
二外	第二外国语学院
师培	师资培训
澳姐	澳门小姐
世青赛	世界青年锦标赛
农职校	农村职业学校
纺机	纺织机械
铅排	铅字排版
调资	调整工资
名导	著名导演
外汇局	外汇管理局
宪草	中华人民共和国宪法草案
煤机厂	煤矿机械厂
新例	新条例
土改	土地改革
援藏	支援西藏
三棉	第三棉纺织厂
治保	治安保卫
佛协	佛教协会
冰联	冰球联合会
菌痢	细菌性痢疾
戏研	戏剧研究
女举	女子举重
机电部	机械电子工业部
搜毒	搜查毒品
改危	改造危房
滥权	滥用职权
上财	上海财经大学
非工统	非洲工会统一组织
国际共运	国际共产主义运动
个调税	个人收入调节税
央航	中央航空公司
经协办	经济协作办公室
新航	新加坡航空公司
退约	退出条约
南共体	南部非洲发展共同体
临管会	临时管理委员会
医研	医学研究
家财	家庭财产
完中	完全中学
警号	警示信号
城建	城市建设
舞美	舞台美术
参赌	参加赌博
煤科	煤炭科学
心防	心理防线
南侨	南洋华侨
制博会	装备制造业博览会
教参	教学参考资料
盲流	盲目流动
中芭	中央芭蕾舞团
中控	中央控制
成飞	成都飞机
考纲	考试大纲
基民党	基督教民主党
附中	附属中学
整党	整顿党风
停播	停止播放
牙防	牙病防治
登联	登山联合会
访京	访问北京
计经委	计划经济委员会
长航	长江航运
南太地区	南太平洋地区
录干	录用干部
重审	重新审查
亚羽联	亚洲羽毛球联合会
戏文系	戏剧文学系
普初	普通初中
青运史	青年运动史
人防	人民防空
农研室	农村政策研究室
台大	台湾大学
体改司	体制改革司
纪监	纪律监督
评文	评论文章
管输	管道输送
机校	机械学校
劳模	劳动模范
集游法	集会游行法
重百	重庆百货
军力	军事力量
国际航联	国际航空运动联合会
宣导	宣传引导
仓管员	仓库管理员
安检	安全检查
公屋	公共房屋
文保	文物保护
科技社	科学技术出版社
激辩	激烈争辩
乌市	乌鲁木齐市
未保委	未成年人保护委员会
青协	青年协会
防疟	防治疟疾
国贸	国际贸易
参院	参议院
脊灰	脊髓灰质炎
排协	排球协会
读博	攻读博士学位
工体	北京工人体育场
自防	自身防范
日经联	日本经营者团体联盟
福铁	福州铁路
长话	长途电话
费负	费用负担
运能	运输能力
石化厅	石油化学工业厅
妇检	妇科检查
网协	网球协会
民诉	民事诉讼
铁五局	铁道部第五工程局
自民	自由民主
泳手	游泳选手
抽佣	抽取佣金
专储	专项储备
购股	购买股票
地空导弹	地对空导弹
机译	机器翻译
红高	红色高棉
厦大	厦门大学
公意	公民意愿
科考队	科学考察队
军机	军事机密
心外科	心血管外科
总工会	中华全国总工会
华东师大	上海华东师范大学
矿管局	矿产资源管理局
军干	军队干部
国开行	国家开发银行
上工	上海工业
警校	警察学校
设陷	设置陷阱
邮储	邮政储蓄
外航	外国航空公司
世运会	世界运动会
梅剧团	梅兰芳剧团
关员	海关人员
降损	降低损耗
女乒	女子乒乓球队
长管	长期管理
工发组织	联合国工业发展组织
冰啤	冰镇啤酒
亚乒	亚洲乒乓球
港报	香港报纸
昆虫所	昆虫研究所
触法	触犯法律
伊协	伊斯兰教协会
童军	童子军
社科系	社会科学系
校董会	学校董事会
食协	食品工业协会
受教	接受教育
届退	届龄退休
发股	发行股票
中央美院	中央美术学院
参编	参加编写
治太	治理太湖
吧女	酒吧女郎
滞港	滞留香港
联汇制	联系汇率制度
矿机厂	矿山机器厂
产需	生产需求
国际铁联	国际铁人三项联合会
阿语	阿拉伯语
牌告	挂牌公告
民贸	民族贸易
统战	统一战线
亚锦赛	亚洲锦标赛
学额	学生名额
粮价	粮食价格
财长	财政部部长
索费	索取费用
工产	工业生产
内处	内部处理
顾委	顾问委员会
校护	学校护士
班厦	班达拉奈克国际会议大厦
时限	时间限制
农工委	农村工作委员会
国际箭联	国际射箭联合会
65中	第65中学
社改	社会改革
国家体改委	国家经济体制改革委员会
世协	世界语协会
首体	首都体育馆
路局	铁路局
音效	音响效果
交委	交通委员会
青保	青少年保护
教研	教学研究
立审	立案审查
支扩	支气管扩张
交大	交通大学
贪贿	贪污和受贿
邮运	邮政运输
劳技课	劳动技术课
月均	每月平均
年运量	年运输量
政工	思想政治工作
泳联	游泳联合会
失忆	失去记忆
数显	数字显示
研考	研究生入学考试
监检	监察和检察
脱贫	摆脱贫困
高专	高等专科学校
包商	承包商
停售	停止销售
运邮	运送邮件
扩招	扩大招生
二轻局	第二轻工业局
曲联	曲棍球联合会
声学所	声学研究所
科协	科学技术协会
政争	政治斗争
解阵党	解放阵线党
社保费	社会保险费
民族宫	北京民族文化宫
空运	航空运输
特支	特别支部
十届	第十届
控检	控制检查
普内	普通内科
教联会	香港教育工作者联会
港岛	香港岛
北视	北京电视艺术中心
关工委	关心下一代工作委员会
增支	增加支出
二次大战	第二次世界大战
体事	体育赛事
亚举联	亚洲举重联合会
译协	翻译工作者协会
青训	青年培训
银系	银河系
商交所	商品交易所
军控	军备控制
空爆	空中爆炸
沪办	驻沪办事处
钱江	钱塘江
公审	公开审判
羽协	羽毛球协会
夏奥会	夏季奥林匹克运动会
少儿基金会	少年儿童基金会
工改	工资制度改革
壁饰	墙壁装饰
广协	广告协会
女师	女子师范学校
参试	参加试验
交通量	交通流量
刑事技术	刑事科学技术
狱务	监狱事务
附小	附属小学
学具	学习用具
产供	生产供应
二机部	第二机械工业部
纪检委	纪律检查委员会
油市	石油市场
严斥	严厉斥责
法改会	香港法律改革委员会
农研所	农业科学研究所
高研班	高级研讨班
钢研	钢铁研究
春管	春季田间管理
普客	普通旅客列车
僚气	官僚习气
委管	委托管理
微生物所	微生物研究所
铁十一局	铁道部第十一工程局
舞校	舞蹈学校
时控	时间控制
消保法	消费者保护法
数学所	数学研究所
老慢支	老年慢性支气管炎
镇反	镇压反革命
民乐	民族音乐
排管	排水管道
职中	职业中学
男双	男子双打
博协	博物馆协会
球卡	球员卡
沈大	沈阳大学
版协	出版协会
专校	专科学校
童装	儿童服装
二产	第二产业
社盟	社会联盟
工大	工业大学
陆校	陆军学校
渔捞	渔业捕捞
败因	失败原因
马航	马来西亚航空公司
国际举联	国际举重联合会
学优	学习成绩优异
环保科研所	环境保护科学研究所
世行	世界银行
二商局	第二商业局
支乡	支援家乡
成教	成人教育
纺企	纺织企业
联交所	香港联合交易所
受阅	接受检阅
北京体院	北京体育学院
世锦赛	世界锦标赛
金管局	香港金融管理局
联校	联合学校
组训	组织训练
农调队	农村社会经济调查队
农资	农业生产资料
城巴	城市巴士
女泳	女子游泳
拥吻	拥抱和亲吻
亚武联	亚洲武术联合会
越战	越南战争
脱险	脱离危险
宋瓷	宋代瓷器
林科院	林业科学院
编务	编辑业务
莎剧	莎士比亚戏剧
计免	计划免疫
现值	现实价值
乒协	乒乓球协会
内审	内部审计
中运会	中学生运动会
职高生	职业高中学生
少儿社	少年儿童出版社
报备	申报备案
临客	临时旅客列车
铁三局	铁道部第三工程局
远教	远距离教育
三机部	第三机械工业部
画艺	绘画艺术
公交	公共交通
老体协	老年人体育协会
停检	停车检查
商运	商业运输
长影	长春电影制片厂
首师大	首都师范大学
经委	经济委员会
儿艺	儿童艺术
军检	军事检察院
伊通社	伊拉克通讯社
民运会	少数民族运动会
内控	内部控制
尼共	尼泊尔共产党
东汽	东风汽车公司
纪委会	纪律委员会
协寻	协助寻找
祭仪	祭奠仪式
军体	军事体育
多经	多种经营
民管会	民主管理委员会
帮理	帮助料理
智残	智力残疾
林大	林业大学
普六	普及六年制义务教育
车市	汽车市场
储贷	储蓄和贷款
季检	季度检查
商誉	商业信誉
大本	大学本科
剖验	解剖检验
荣军	荣誉军人
复交	恢复外交关系
基干	基层骨干
社店	出版社和书店
采标	采用国际标准和国外先进标准
高知	高级知识分子
伏休	伏季休渔
日铁	日本铁路
产加销	生产加工销售
私烟	走私香烟
医界	医疗界
拥塞	拥挤堵塞
基社盟	基督教社会联盟
专才	专业人才
宣教部	宣传教育部
民自党	民主自由党
善信	善男信女
上交所	上海证券交易所
火电站	火力发电站
制播	制作和播出
雕艺	雕刻艺术
污控司	污染控制司
车险公司	汽车保险公司
排联	排球联合会
续降	继续下降
质监	质量监督
利废	利用废物
质管部	质量管理部
区计委	区计划委员会
国家工商局	国家工商行政管理局
葬仪	安葬仪式
区府	市辖区人民政府
河界	楚河汉界
证交税	证券交易税
经团联	日本经济团体联合会
共盟	共产主义者联盟
农贷	农业贷款
禁销	禁止销售
控温	控制温度
七运会	第七届全国运动会
香港教联	香港教育工作者联合会
北方交大	北方交通大学
珠影	珠江电影制片厂
特困	特殊困难
军管会	军事管制委员会
乒总	乒乓球总会
港警	香港警察
中纪委	中央纪律检查委员会
经适房	经济适用房
品改	品种改良
音教	音乐教育
星箭	卫星和火箭
胆石	胆囊结石
解纷	解决纷争
妇工委	妇女工作委员会
潜亏	潜在亏损
书家	书法家
黄带	黄色录像带
合作企业	中外合作经营企业
招委	招生委员会
安盟	争取安哥拉彻底独立全国联盟
招飞	招收飞行学员
农改	农业改革
特训	特别训练
渔技	渔业技术
安保部	安全保卫部
市办	市委办公室
南工团	南下工作团
市务	市场业务
机电署	机电工程署
执纪	执行纪律
质保	质量保证
化脑	化脓性脑膜炎
慢萎	慢性萎缩性胃炎
运毒	运送毒品
物理所	物理研究所
宪警	宪兵和警察
外联处	对外联络处
游将	游泳健将
财困	财政困难
棉产	棉花生产
拒收	拒绝接收
药化	药物化学
保定军校	保定军官学校
房津	房屋津贴
铁十五局	铁道部第十五工程局
轮涨	轮番上涨
增干	增加干部
边贸	边境贸易
运管费	运输管理费
办展	举办展览
首旅	首都旅游
安莎社	安莎通讯社
经管	经济管理
波幅	波动幅度
文班	文科班
羽总	香港羽毛球总会
射联	射击联合会
国际拳联	国际业余拳击联合会
国际手联	国际手球联合会
足校	足球学校
马岛	马尔维纳斯群岛
乐疗	音乐治疗
印尼	印度尼西亚
支铁	支援铁路建设
约通社	约旦通讯社
再障	再生障碍性贫血
维园	香港维多利亚公园
粮贸	粮食贸易
村助	村长助理
评先	评选先进
民院	民族学院
产能	生产能力
货代	货物运输代理
放贷	发放贷款
普教	普通教育
食油	食用植物油
津沽	天津塘沽
企管处	企业管理处
尸表	尸体表面
心内科	心血管内科
节电	节约用电
无照	无牌照
南师	南京师范大学
展交会	展览交易会
国基	国家基础
妇委	妇女委员
物交会	物资交易会
展馆	展览馆
外片	外国影片
访摄	采访拍摄
政团	政治团体
学平险	学生平安保险
韩食	韩国食品
软网	软式网球
反帝	反对帝国主义
地矿局	地质矿产局
技联	技巧联合会
空司	空军司令部
海练	海上训练
一棉厂	第一棉纺织厂
科仪	科学仪器
寸照	一寸照片
欧陆	欧洲大陆
摩配	摩托车配件
能委	能源委员会
篮协	篮球协会
长防林	长江防护林
工研院	工业研究院
统整	统一整合
嫌犯	嫌疑犯
上港	上海港务局
生化	生物化学
无核国	无核武器国家
矿大	矿业大学
筹资	筹集资金
流脑	流行性脑脊髓膜炎
群文	群众文化艺术
展洽会	展览洽谈会
化救	化学事故应急救援
电子局	电子工业局
补校	补习学校
经援	经济援助
规管	规划管理
拖厂	拖拉机制造厂
彩印	彩色印刷
一附中	第一附属中学
影评	电影评论
锡盟	锡林郭勒盟
私宅	私人住宅
劳动人口	劳动年龄人口
建商	建筑商
街居	街道居民
刑案	刑事案件
保盟	保卫中国同盟
职棒	职业棒球
节耗	节约能耗
国际世协	国际世界语协会
铁一院	铁道部第一勘测设计院
轻轿	轻型轿车
上博	上海博物馆
村企	村办企业
农函大	农业函授大学
城改	城市改造
续任	继续留任
抛股	抛售股票
监委	监察委员会
启导	启发引导
史著	历史著作
卫技	卫生技术
高息	高额利息
电镜	电子显微镜
蒙通社	蒙古通讯社
开发协会	国际开发协会
环卫	环境卫生
人口老化	人口老龄化
局麻	局部麻醉
成棒	成人棒球
市况	市场状况
环保部	环境保护部
技协	技术协会
计财部	计划财务部
动源	动力源
表抗	乙型肝炎表面抗原
现势	现实形势
审案	审理案件
热作	热带作物
勒赎	勒索赎金
甲减	甲状腺功能减退
委培	委托培养
六运会	第六届全国运动会
私物	私人物品
投洽会	投资洽谈会
叙通社	叙利亚通讯社
西南交大	西南交通大学
党史	党的历史
短网	短式网球
二棉	第二棉纺织厂
乡建	乡村建设
军管	军事管制
武协	武术协会
23中	第23中学
欧鳗	欧洲鳗
海司	海军司令部
科艺	科学和艺术
业校	业余学校
考纪	考试纪律
北邮	北京邮电大学
经改	经济体制改革
消保会	消费者保护协会
伊航	伊拉克航空公司
举联	举重联合会
城工部	城市工作部
企财	企业财产
林型	森林类型
世局	世界局势
作代会	作家代表大会
辽吉	辽宁吉林
电联	国际电信联盟
总台	总服务台
联汇	联系汇率
一产	第一产业
合同工	合同制工人
反和	反对和平
鲜蔬	新鲜蔬菜
统供	统一供应
政研室	政策研究室
科委会	科学研究委员会
二十三中	第二十三中学
投信公司	投资信托公司
专控	专项控制
农居	农转居
军代表	解放军代表
医科院	医学科学院
海湾合作委员会	海湾阿拉伯国家合作委员会
公惩会	公务员惩戒委员会
女单	女子单打
外宣	对外宣传
住房改革	住房制度改革
夏训	夏季训练
救孤	救助孤儿
技物所	技术物理研究所
严处	严肃处理
鲁博	鲁迅博物馆
检法	检察院和法院
高干	高级干部
劳动市场	劳动力市场
陆架	大陆架
白兰花	白玉兰花
摘金	摘取金牌
客量	客流量
二十二中	第二十二中学
内潜	内部潜力
飞安	飞行安全
抗战	抗日战争
养教	培养教育
市经	市场经济
政技	政治和技术
毛选	毛泽东选集
枪匪	持枪匪徒
唐院	唐山铁道学院
国际民航组织	国际民用航空组织
军训	军事训练
防保	预防保健
人口所	人口研究所
优分	优先分配
环委会	环境保护委员会
女板	女子跳板跳水
儿基会	儿童少年基金会
北展	北京展览馆
经技	经济与技术
扫盲	扫除文盲
铁四局	铁道部第四工程局
商银	商业银行
一机部	第一机械工业部
农院	农业学院
台胞	台湾同胞
共建	共同建设
儿麻	小儿麻痹症
内刊	内部刊物
社科司	社会科学司
大核	大亚湾核电站
共集	共同筹集
汤杯赛	汤姆斯杯赛
公德	公共道德
体模	人体模型
携械	携带枪械
世贸	世界贸易
美院	美术学院
迎检	迎接检查
青企协	青年企业家协会
科研	科学研究
乒联	乒乓球联合会
棉检	棉花检验
瑞航	瑞士航空公司
邮费	邮政资费
财校	财政学校
健检	健康检查
举协	举重协会
专干	专职干部
铁一局	铁道部第一工程局
增编	增加编制
擅设	擅自设置
编采	编辑采访
完小	完全小学
城管办	城市管理办公室
林管局	林业管理局
青少部	青少年部
高铁	高速铁路
厨卫	厨房卫生
债息	债券利息
附院	附属医院
社署	香港社会福利署
海测	海洋测量
史语所	历史语言研究所
女足	女子足球
农房	农民住房
共军	共产党的军队
南农大	南京农业大学
环发大会	联合国环境与发展大会
巡讲	巡回演讲
七建	第七建筑公司
组工会	组织工作会
退管会	退休职工管理委员会
语训	语言训练
时空	时间和空间
校建	学校建设
祖国战线	祖国统一民主主义战线
贸工	贸易和工业
治黄	治理黄河
人大	人民代表大会
清债	清理债务
雪联	滑雪联合会
上感	上呼吸道感染
瑞郎	瑞士法郎
二商	第二商业
间选	间接选举
涉政	涉及政治
航图	航空图
产销	生产和销售
财委会	财政委员会
航校	航空学校
海监局	海上安全监督局
川府	四川政府
上海交大	上海交通大学
市运会	市运动会
义教	义务教育
增税	增加税收
汽渡	汽车轮渡
女中	女子中学
西航	西北航空公司
教科文卫委	教育科学文化卫生委员会
扬大	扬州大学
投运	投入运行
国际体联	国际体操联合会
保监处	保险业监理处
加姐	加拿大小姐
朝中社	朝鲜中央通讯社
建施	建设实施
考规	考试规则
黄陵	黄帝陵
控购	控制购买
医管会	医院管理学会
综保	综合保险
菲航	菲律宾航空公司
汽摩	汽车摩托车
主控	主要控制
农经	农业经济
彩照	彩色照片
广管局	香港广播事务管理局
崇美	推崇美国
